prov,name,internet1998,internet1999,internet2000,internet2001,internet2002,internet2003,internet2004,internet2005,internet2006,internet2007,internet2008,internet2009,internet2010,internet2011,internet2012,internet2013,internet2014,internet2015,internet2016,note
#precision:,"1998-2006 are published to the nearest whole per cent (rounding error up to +-0.5pp); 2007-2016 are published to one decimal. Mixed precision within a row is a source-precision artefact, not a data change.","Relative standard errors are published in companion RSE cubes (81460DO002_* / Chapter-2-RSE cubes); typical RSE on the state internet-access proportion is 1-2% for NSW/VIC/QLD/WA/SA, 2-4% TAS, 2-3% ACT, 3-7% NT.",,,,,,,,,,,,,,,,,,,
#coverage-warning:,"The 8146.0 series CEASED after 2016-17. For a 2015-2019 drift window only internet2014 (2014-15) and internet2016 (2016-17) exist; there is NO ABS household-internet state series for 2017, 2018 or 2019.","For a 2006-2010 window: internet2006, internet2007, internet2008, internet2010 exist (2009 does not).",,,,,,,,,,,,,,,,,,,
NSW,New South Wales,18,22,32,45,48,54,56,60,64,67.0,71.2,,79.2,,80.9,,85.3,,85.2,"2014 (85.3) -> 2016 (85.2) is a published plateau within sampling error, not a decline"
VIC,Victoria,15,23,34,43,46,54,57,59,63,66.0,71.8,,78.6,,83.6,,86.2,,86.8,
QLD,Queensland,15,20,31,40,42,52,56,61,65,68.2,73.4,,79.1,,83.5,,86.3,,86.3,
WA,Western Australia,15,22,34,41,48,53,58,62,66,68.2,75.1,,81.4,,85.1,,88.1,,88.4,
SA,South Australia,12,19,29,37,43,48,50,56,57,61.7,66.5,,75.7,,81.4,,82.4,,82.5,
TAS,Tasmania,10,18,25,31,35,41,48,49,56,56.4,62.9,,70.3,,77.9,,81.7,,83.4,smallest mainland-state sample; RSE on the internet-access proportion 2-4% (2004-05 to 2008-09) vs 1-2% for NSW/VIC/QLD
NT,Northern Territory,16,30,35,38,48,,61,60,67,67.9,73.6,,78.7,,84.9,,88.9,,89.0,"2003 (SDAC) estimate not published for NT - cell left EMPTY, not interpolated. Small sample: RSE 3-7% on the proportion. NT/ACT are territories, not states; 2004-05 (61) -> 2005-06 (60) dip is within sampling error"
ACT,Australian Capital Territory,27,34,46,60,60,66,67,72,73,80.5,81.5,,88.1,,89.4,,94.1,,94.1,"territory, not a state; small sample (RSE 2-3%). Highest access level in every year"
