name,full_name,mid,source_kind,education_level,education_field,alma_maters,prior_occupation,occupation_category,source_url
dach,Lorne Dach,0842,live,bachelor,political science,University of Alberta,Associate broker in the real estate industry for close to 30 years,business,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0842
dang,Thomas Dang,0843,wayback,unknown,computing science,University of Alberta,Software developer (while pursuing a computing science degree),business,https://web.archive.org/web/20200921103711/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0843&legl=30&from=mla_home
deol,Jasvir Deol,0909,live,unknown,,,Insurance broker and small-business owner for almost 20 years,business,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0909
dreeshen,Devin Dreeshen,0908,live,unknown,,,Fifth-generation farm owner near Pine Lake; policy adviser to the federal Minister of Agriculture 2008-2015,agriculture,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0908
eggen,David Eggen,0757,live,bachelor,education,University of Alberta,"Teacher (Zimbabwe and Edmonton schools, 1990-2004); executive director, Friends of Medicare",education,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0757
ellis,Mike Ellis,0832,live,college,policing; management,Charles Sturt University; Mount Royal College,Calgary Police Service constable and patrol sergeant (12 years),public-service,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0832
feehan,"Richard Feehan, ECA",0844,wayback,unknown,,,"Instructor, University of Calgary Faculty of Social Work (Edmonton division); program director, Edmonton Social Planning Council; vice-president, Catholic Social Services; private social work practice",education,https://web.archive.org/web/20200921100703/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0844&legl=30&from=mla_home
ganley,Kathleen Ganley,0846,live,professional,law; philosophy; psychology,University of Calgary,"Lawyer, associate at a private law firm (labour, employment and human rights law)",law,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0846
getson,Shane Getson,0917,live,college,civil engineering technology,Northern Alberta Institute of Technology,Project director in the construction industry (15 years); senior manager of planning and execution for a private energy-sector company,business,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0917
glasgo,Michaela Frey,0918,wayback,bachelor,political science,University of Lethbridge,Owner and chief consultant of a strategic consulting agency,business,https://web.archive.org/web/20200921084546/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0918&legl=30&from=mla_home
glubish,Nate Glubish,0919,live,bachelor,commerce; finance,University of Saskatchewan,"Investment manager; 15-year career in finance, investment and venture capital",business,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0919
goehring,Nicole Goehring,0847,live,college,social work,MacEwan University,"Caseworker, assessor and court co-ordinator with Child and Family Services; group home supervisor",public-service,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0847
goodridge,Laila Goodridge,0907,wayback,bachelor,arts,University of Alberta,Staffer for Members of the Legislative Assembly and for the federal Minister of the Environment; worked in the oil sands for almost five years,public-service,https://web.archive.org/web/20200923192702/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0907&from=mla_home
gotfried,Richard Gotfried,0900,wayback,college,management; political science and economics,Boston College; University of Hong Kong; University of Calgary,"Senior executive for a Calgary home builder (over a decade); district sales manager for an international airline (15+ years); vice-president, Calgary Economic Development",business,https://web.archive.org/web/20200926153809/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0900&from=bill&billinfoid=11833
gray,Christina Gray,0848,live,bachelor,psychology; software development,,Senior consultant with a software development consulting firm; software developer and instructor,business,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0848
guthrie,Pete Guthrie,0920,live,bachelor,chemical engineering,University of Alberta,Professional engineer; private business owner in the ranching and retail industries for almost 20 years,business,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0920
hanson,David Hanson,0888,wayback,college,"plumbing, gasfitting and steamfitting; medical radiology",Northern Alberta Institute of Technology,"Construction industry for over 37 years - foreman, superintendent, consultant and construction inspector",trades-labour,https://web.archive.org/web/20200926195352/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0888&from=mla_home
hoffman,Sarah Hoffman,0850,live,graduate,education; mathematics; religious studies,University of Alberta; Concordia University of Edmonton,Edmonton Public School Board trustee (two terms; board chair 2012-2014),public-service,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0850
hunter,Grant Hunter,0889,live,graduate,science; business administration,,,unknown,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0889
issik,"Whitney Issik, ECA",0922,wayback,bachelor,arts,University of Calgary,Owned and operated a small business in Calgary for close to 30 years; worked in the telecommunications and energy industries,business,https://web.archive.org/web/20200921095424/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0922&legl=30&from=mla_home
jason nixon,Jason Nixon,0892,live,college,business administration management,Southern Alberta Institute of Technology; Athabasca University,Executive director and other roles with The Mustard Seed (Christian not-for-profit) over 25 years,NGO-advocacy,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0892
jean,"Brian Jean, KC",0882,live,professional,law; science; business administration,,"Lawyer, partner and litigator at a large Northern Alberta law firm (11 years); previously small business owner; MP 2004-2014",law,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0882
jeremy nixon,"Jeremy Nixon, ECA",0932,wayback,bachelor,communications and culture,University of Calgary,"Non-profit sector for over 15 years; leadership roles with The Mustard Seed, Canadian Mental Health Association and Boys & Girls Clubs of Calgary",NGO-advocacy,https://web.archive.org/web/20200921102413/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0932&legl=30&from=mla_home
kenney,"Jason Kenney, PC, ECA",0906,wayback,unknown,,,Member of Parliament 1997-2016; began public life as president of the Canadian Taxpayers Federation,NGO-advocacy,https://web.archive.org/web/20200921092254/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0906&legl=30&from=mla_home
loewen,Todd Loewen,0890,live,secondary,,Hillside Junior Senior High School,Owner of a small outfitting business and an operational farm,agriculture,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0890
lovely,Jackie Lovely,0926,live,graduate,business administration; hotel and restaurant administration,University of Saskatchewan; Saskatchewan Polytechnic; Cape Breton University,English as a second language instructor,education,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0926
madu,"Kaycee Madu, ECA, KC",0927,wayback,professional,law,University of Lagos,"Lawyer for 16 years in Nigeria and Alberta; senior technical advisor, Government of Alberta",law,https://web.archive.org/web/20200918192747/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0927&from=bill&billinfoid=11862
mciver,Ric McIver,0808,live,unknown,,,Food industry national sales manager and sales/marketing manager; owner-operator of a food distribution and marketing wholesale business; Calgary alderman 2001-2010,business,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0808
member ceci,Joe Ceci,0838,live,graduate,social work,University of Western Ontario; University of Calgary,"Community social worker, City of Calgary; family counselling; public policy manager at a community-based charitable organization; Calgary alderman 15 years",public-service,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0838
member irwin,Janis Irwin,0910,live,graduate,education,University of Alberta; University of Calgary,"High school teacher and vice-principal; senior manager and executive director at Alberta Education; director of stakeholder relations, Premier's office",education,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0910
member lagrange,Adriana LaGrange,0924,live,college,rehabilitative studies,Humber College,"Worked at the Michener Centre, Red Deer (shift charge, behavioural specialist, social academic) 1981-2006; trustee, Red Deer Catholic Regional School Division for over 11 years; family farm and hog-farm trucking division",public-service,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0924
member loyola,Rodrigo Loyola,0856,wayback,bachelor,arts,University of Alberta,"Academic program coordinator and student adviser, University of Alberta International; elected president of the Non-Academic Staff Association (union)",trades-labour,https://web.archive.org/web/20200921093156/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0856&legl=30&from=mla_home
neudorf,Nathan Neudorf,0930,live,college,civil and structural engineering; carpentry,,Commercial construction; red seal journeyman carpenter and gold seal project manager,trades-labour,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0930
nicolaides,Demetrios Nicolaides,0931,live,graduate,political science; conflict studies; international relations,University of Cyprus; European University Center for Peace Studies; University of Calgary,Communication consulting to senior leaders in the private sector; accredited civil and commercial mediator; former business-school instructor,communications-PR-journalism,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0931
nielsen,Chris Nielsen,0865,wayback,college,engineering design,Northern Alberta Institute of Technology,"Shipper/receiver for 26 years; shop steward, UFCW Local 401",trades-labour,https://web.archive.org/web/20200921102611/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0865&legl=30&from=mla_home
nixon,Jason Nixon,0892,live,college,business administration management,Southern Alberta Institute of Technology; Athabasca University,Executive director and other roles with The Mustard Seed (Christian not-for-profit) over 25 years,NGO-advocacy,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0892
notley,"Rachel Notley, ECA",0791,wayback,professional,law; political science,University of Alberta; Osgoode Hall Law School,Labour lawyer; worked for labour unions in Alberta and British Columbia; ministerial advisor to British Columbia's Attorney General,law,https://web.archive.org/web/20200921092840/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0791&legl=30&from=mla_home
orr,"Ron J.N. Orr, ECA",0893,wayback,graduate,theology,,Ordained minister; owner of a general contracting business; journeyman carpenter,other,https://web.archive.org/web/20200921102643/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0893&legl=30&from=mla_home
pancholi,Rakhi Pancholi,0911,live,professional,law; political science,University of Toronto; University of Alberta,Practising lawyer (labour/employment and education law); senior legislative consultant for Alberta Education,law,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0911
panda,"Prasad Panda, ECA",0904,wayback,bachelor,mechanical engineering,VRS College of Engineering and Technology,Professional engineer; 25+ years in the energy sector in management positions,business,https://web.archive.org/web/20200921102340/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0904&legl=30&from=mla_home
phillips,"Shannon Phillips, ECA",0867,wayback,graduate,political science,University of Alberta,Policy analyst with the Alberta Federation of Labour (five years),trades-labour,https://web.archive.org/web/20200921092726/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0867&legl=30&from=mla_home
pitt,Angela Pitt,0894,live,college,business administration; marketing,Southern Alberta Institute of Technology,Small business owner in Airdrie,business,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0894
reid,Roger Reid,0935,wayback,unknown,,,Owned and operated multiple franchise businesses for close to a decade; previously marketing/communications and graphic design,business,https://web.archive.org/web/20200921085229/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0935&legl=30&from=mla_home
renaud,Marie Renaud,0869,live,college,community disability studies; counselling,MacEwan University; University of Alberta,"Executive director, Lo-Se-Ca Foundation (non-profit) for almost 15 years; instructor at MacEwan University",NGO-advocacy,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0869
rosin,Miranda Rosin,0936,wayback,bachelor,business administration,University of Regina,"Market development manager, Coca-Cola Refreshments Canada; digital media coordinator, Re/Max Crown Real Estate",business,https://web.archive.org/web/20200921104113/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0936&legl=30&from=mla_home
sabir,Irfan Sabir,0871,live,professional,law; social work; economics,University of Calgary; University of Azad Jammu and Kashmir,Lawyer practising aboriginal law at a national law firm,law,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0871
savage,"Sonya Savage, ECA, KC",0939,wayback,professional,law; environmental and energy law,University of Calgary,"Senior director of policy and regulatory affairs, Canadian Energy Pipeline Association; policy and government relations for a multinational energy transportation company (2006-2015); 13 years practising law",business,https://web.archive.org/web/20200920075759/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0939&from=bill&billinfoid=11844
sawhney,Rajan Sawhney,0940,live,graduate,business administration; economics; political science,University of Calgary,Senior positions in the oil and gas industry,business,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0940
schmidt,Marlin Schmidt,0872,live,graduate,applied environmental geosciences,Eberhard Karls Universitat Tubingen; Queen's University,"Soil and groundwater contamination specialist, Alberta Environment (2008-2015)",public-service,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0872
schow,Joseph Schow,0941,live,graduate,Russian; international affairs,Dalhousie University; George Washington University,Legislative co-ordinator with the Legislative Assembly of Alberta; parliamentary assistant with the House of Commons of Canada,public-service,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0941
schulz,"Rebecca Schulz, ECA",0942,wayback,graduate,communications,Johns Hopkins University; University of Saskatchewan,"Director of alumni marketing and communications, University of Calgary; director of communications, Saskatchewan Ministry of Education",communications-PR-journalism,https://web.archive.org/web/20200921082134/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0942&legl=30&from=mla_home
schweitzer,"Doug Schweitzer, ECA, KC",0943,wayback,unknown,,,Partner with a private law firm specializing in bankruptcy and insolvency,law,https://web.archive.org/web/20200918193745/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0943&from=bill&billinfoid=11859
shandro,"Tyler Shandro, ECA, KC",0944,wayback,professional,law,University of Calgary,Practising lawyer in Calgary,law,https://web.archive.org/web/20200920075321/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0944&from=bill&billinfoid=11848
shepherd,David Shepherd,0874,live,bachelor,professional communications; music,MacEwan University; Royal Roads University,Communications adviser and writer; previously musician and studio engineer,communications-PR-journalism,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0874
sigurdson,Lori Sigurdson,0875,live,graduate,social work; political science,University of Alberta; University of Calgary,"Social worker for 25 years (child welfare, mental health, community development, social policy); social work instructor",public-service,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0875
smith,Mark Smith,0896,wayback,bachelor,education,Concordia College; University of Alberta,"Social studies teacher, 30 years as an educator",education,https://web.archive.org/web/20200921090041/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0896&legl=30&from=mla_home
stephan,Jason Stephan,0947,live,professional,law; accounting,University of Calgary,Lawyer and chartered professional accountant; founder and owner of CA Tax Law,law,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0947
sweet,Heather Sweet,0877,live,unknown,,,Registered social worker; child protection services (2005-2015),public-service,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0877
toews,"Travis Toews, ECA",0948,wayback,unknown,"accounting (CPA, CMA)",,Managing director and co-owner of a family cattle ranching operation and an oil field environmental company since 2002; 12 years in public accounting practice,agriculture,https://web.archive.org/web/20200918222136/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0948&from=bill&billinfoid=11832
turton,Searle Turton,0950,live,unknown,,,Technology sales and document control systems for a large Canadian technology company; previously tradesman in construction; three-term Spruce Grove city councillor,business,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0950
van dijken,Glenn van Dijken,0898,live,unknown,,,"Grain farmer, family farm at Dapp, Alberta",agriculture,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0898
walker,Jordan Walker,0951,wayback,graduate,,,"Foreign qualification recognition and immigration officer, Government of Alberta; taught English as a second language in Japan",public-service,https://web.archive.org/web/20200921093052/https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0951&legl=30&from=mla_home
williams,Dan Williams,0952,live,unknown,,,Worked at a construction and gravel company,trades-labour,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0952
wilson,Rick Wilson,0953,live,unknown,,,"Owner-operator of numerous businesses in construction, land development and heavy construction; rancher; County of Wetaskiwin councillor and deputy reeve",business,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0953
yao,Tany Yao,0899,live,unknown,,,Emergency response services for 20 years,health,https://www.assembly.ab.ca/members/members-of-the-legislative-assembly/member-information?mid=0899
