seg_id,year,opus_screen
2026-05-08#t2949w0,2026,72
2026-03-18#t2135w0,2026,72
2025-10-21#t5w3,2025,72
2025-05-14#t2337w1,2025,72
2025-05-06#t1707w1,2025,72
2025-11-05#t691w1,2025,72
2024-12-13#t940w1,2024,72
2026-05-13#t3070w2,2026,72
2025-06-03#t3143w1,2025,72
2024-12-12#t745w0,2024,72
2026-03-20#t2199w0,2026,72
2025-06-05#t3336w1,2025,70
2023-05-11#t11774w5,2023,70
2025-12-04#t1547w1,2025,70
2025-05-07#t1805w3,2025,70
2025-06-05#t3250w0,2025,70
2025-05-28#t2795w2,2025,70
2025-05-27#t2663w5,2025,70
2026-03-26#t2544w6,2026,70
2026-03-26#t2551w2,2026,70
2025-10-30#t534w3,2025,70
2025-12-11#t1926w1,2025,70
2025-05-27#t2663w3,2025,70
2025-11-05#t694w3,2025,70
2025-05-14#t2337w3,2025,70
2025-05-27#t2649w2,2025,70
2025-12-02#t1306w0,2025,70
2026-05-13#t3070w3,2026,70
2023-05-10#t11631w6,2023,70
2026-05-13#t3077w0,2026,70
2026-05-13#t3083w0,2026,70
2025-05-28#t2794w1,2025,70
2026-03-18#t2135w17,2026,70
2025-06-04#t3235w0,2025,70
2025-05-27#t2663w4,2025,70
2026-05-14#t3204w5,2026,70
2025-10-24#t179w1,2025,70
2025-05-08#t1893w0,2025,70
2026-03-26#t2544w5,2026,70
2026-03-24#t2305w3,2026,70
2025-05-27#t2650w0,2025,70
2026-03-18#t2063w0,2026,70
2025-05-27#t2646w2,2025,70
2024-12-10#t631w0,2024,70
2025-05-28#t2783w2,2025,70
2025-03-26#t1515w2,2025,70
2025-05-29#t2829w0,2025,70
2025-05-27#t2649w4,2025,70
2025-11-19#t1035w0,2025,70
2025-03-25#t1339w0,2025,70
2024-11-28#t536w1,2024,68
2025-03-26#t1482w6,2025,68
2025-05-08#t1920w1,2025,68
2025-03-19#t1150w3,2025,68
2025-05-07#t1805w0,2025,68
2026-03-20#t2208w3,2026,68
2026-03-18#t2135w13,2026,66
2026-03-18#t2135w18,2026,65
2025-05-27#t2576w0,2025,65
2025-05-27#t2645w4,2025,65
2026-05-07#t2873w3,2026,65
2026-05-13#t3070w1,2026,65
2025-06-05#t3333w6,2025,65
2026-05-13#t3072w3,2026,65
2025-11-05#t620w0,2025,65
2025-05-14#t2170w0,2025,65
2026-05-07#t2830w0,2026,65
2025-12-03#t1446w0,2025,65
2024-12-12#t747w0,2024,65
2026-05-07#t2856w8,2026,65
2025-12-12#t2021w0,2025,65
2026-05-07#t2830w4,2026,65
2024-05-28#t17035w1,2024,65
2024-11-27#t354w0,2024,65
2025-11-20#t1216w0,2025,65
2024-11-27#t409w4,2024,65
2025-12-03#t1440w0,2025,65
2026-03-20#t2209w5,2026,65
2025-05-08#t1918w0,2025,65
2025-03-19#t1116w6,2025,65
2026-03-26#t2544w3,2026,65
2025-12-12#t2021w2,2025,65
2025-12-04#t1550w2,2025,62
2025-11-20#t1194w4,2025,62
2026-03-18#t2135w24,2026,62
2025-05-16#t2534w4,2025,62
2025-11-04#t611w0,2025,62
2025-10-29#t408w1,2025,62
2025-05-15#t2456w2,2025,60
2025-03-20#t1158w1,2025,60
2025-12-04#t1557w1,2025,60
2025-11-18#t1018w0,2025,60
2025-12-04#t1558w1,2025,60
2026-03-25#t2423w4,2026,60
2026-05-14#t3199w0,2026,60
2025-10-30#t509w3,2025,60
2025-12-04#t1463w0,2025,60
2025-12-02#t1296w0,2025,60
2025-12-09#t1692w0,2025,60
2023-03-28#t11152w17,2023,60
2026-05-14#t3204w4,2026,60
2025-05-30#t3040w3,2025,60
2026-05-14#t3105w0,2026,60
2025-10-29#t378w2,2025,60
2025-12-12#t1948w0,2025,60
2025-12-12#t1954w0,2025,60
2025-05-28#t2817w0,2025,60
2025-11-06#t801w0,2025,60
2026-03-26#t2544w2,2026,60
2026-05-14#t3166w3,2026,60
2026-03-18#t2135w1,2026,60
2023-10-24#t13338w16,2023,60
2026-05-07#t2812w0,2026,60
2026-03-20#t2209w4,2026,60
2025-12-11#t1926w4,2025,60
2026-03-25#t2446w6,2026,60
2025-05-27#t2646w3,2025,60
2025-05-28#t2793w1,2025,60
2026-03-26#t2551w1,2026,60
2026-03-18#t2135w28,2026,60
2024-12-12#t835w5,2024,60
2026-03-25#t2346w0,2026,60
2025-12-04#t1550w1,2025,60
2025-03-26#t1504w0,2025,60
2025-10-28#t278w7,2025,58
2025-05-16#t2553w2,2025,55
2024-11-28#t536w3,2024,55
2025-03-27#t1541w0,2025,55
2026-05-07#t2794w0,2026,55
2026-05-14#t3204w3,2026,55
2025-03-26#t1485w1,2025,55
2026-03-24#t2308w1,2026,55
2024-03-27#t15843w0,2024,55
2025-05-15#t2446w4,2025,55
2026-03-18#t2135w20,2026,55
2026-03-25#t2417w2,2026,55
2026-05-13#t3071w1,2026,55
2026-03-18#t2135w9,2026,55
2025-10-22#t86w0,2025,55
2026-03-20#t2235w0,2026,55
2025-05-28#t2820w0,2025,55
2025-12-05#t1562w0,2025,55
2025-06-05#t3339w3,2025,55
2026-03-25#t2446w2,2026,55
2025-11-06#t765w0,2025,55
2025-03-26#t1520w7,2025,55
2026-05-07#t2871w2,2026,55
2026-05-07#t2838w0,2026,55
2025-11-20#t1192w8,2025,55
2025-05-28#t2783w5,2025,55
2025-12-05#t1575w0,2025,55
2026-03-18#t2135w27,2026,55
2026-03-20#t2228w3,2026,55
2025-10-29#t324w0,2025,55
2025-05-09#t1993w0,2025,55
2025-06-03#t3074w0,2025,55
2025-11-20#t1168w0,2025,55
2025-12-04#t1556w1,2025,55
2025-11-05#t690w0,2025,55
2025-10-24#t194w1,2025,55
2026-05-06#t2742w0,2026,55
2025-05-28#t2811w1,2025,55
2026-05-13#t3070w0,2026,55
2025-12-12#t1977w0,2025,55
2025-11-20#t1194w0,2025,55
2025-05-08#t1931w2,2025,55
2019-11-28#t2730w0,2019,55
2025-11-06#t811w4,2025,55
2025-06-04#t3228w0,2025,55
2025-10-29#t307w0,2025,55
2025-05-14#t2324w2,2025,55
2025-05-28#t2794w5,2025,55
2025-03-25#t1333w0,2025,55
2025-06-05#t3335w2,2025,55
2026-03-20#t2144w0,2026,55
2025-05-08#t1893w4,2025,55
2025-03-26#t1430w0,2025,55
2023-05-17#t12036w6,2023,55
2026-03-25#t2453w2,2026,55
2025-05-06#t1648w0,2025,55
2025-12-04#t1525w5,2025,55
2026-05-14#t3191w2,2026,55
2025-06-05#t3312w0,2025,55
2026-03-24#t2308w0,2026,55
2026-05-14#t3195w0,2026,55
2026-05-14#t3100w0,2026,55
2025-11-05#t691w4,2025,55
2025-05-27#t2650w2,2025,55
2025-03-21#t1164w0,2025,55
2025-10-21#t6w6,2025,55
2025-03-19#t1150w0,2025,55
2024-05-14#t16564w0,2024,55
2025-12-04#t1526w4,2025,55
2025-12-09#t1639w0,2025,55
2025-12-04#t1526w0,2025,55
2025-11-20#t1116w0,2025,55
2025-12-04#t1534w1,2025,55
2025-05-28#t2820w4,2025,55
2025-05-09#t2016w1,2025,55
2025-11-06#t809w2,2025,55
2025-05-29#t2912w0,2025,55
2025-05-27#t2646w1,2025,55
2025-05-07#t1737w0,2025,55
2026-03-18#t2135w25,2026,55
2026-05-14#t3192w5,2026,55
2025-06-05#t3336w0,2025,55
2026-05-06#t2742w2,2026,55
2024-05-10#t16515w0,2024,55
2025-11-18#t1004w0,2025,55
2026-03-26#t2475w0,2026,55
2026-03-20#t2157w0,2026,55
2026-03-26#t2531w0,2026,55
2025-05-27#t2649w3,2025,55
2025-10-30#t535w4,2025,55
2025-12-12#t2021w1,2025,55
2023-12-01#t14828w1,2023,55
2026-03-18#t2135w19,2026,55
2026-03-18#t2135w3,2026,55
2025-05-08#t1904w0,2025,55
2025-05-14#t2184w0,2025,55
2025-05-27#t2662w2,2025,55
2025-05-28#t2737w0,2025,55
2025-05-13#t2138w2,2025,55
2025-11-07#t858w0,2025,55
2024-05-07#t16186w0,2024,55
2025-10-30#t441w0,2025,55
2025-03-20#t1159w1,2025,55
2025-11-20#t1174w0,2025,55
2026-03-18#t2097w0,2026,55
2025-10-22#t101w2,2025,55
2024-11-28#t491w0,2024,55
2026-05-08#t2907w0,2026,55
2026-05-06#t2659w0,2026,55
2025-12-05#t1618w0,2025,55
2025-10-29#t387w1,2025,55
2025-12-09#t1698w0,2025,55
2025-03-19#t1116w2,2025,55
2026-05-08#t2906w0,2026,55
2025-03-19#t1150w2,2025,55
2025-05-06#t1668w0,2025,55
2026-05-07#t2852w1,2026,50
2025-05-16#t2480w0,2025,50
2025-10-30#t505w0,2025,50
2026-05-07#t2830w1,2026,50
2025-06-03#t3062w0,2025,50
2025-10-24#t191w1,2025,50
2025-11-20#t1204w1,2025,50
2025-11-20#t1107w0,2025,50
2020-12-08#t396w0,2020,50
2025-05-28#t2820w2,2025,50
2025-10-24#t114w0,2025,50
2025-05-15#t2446w5,2025,50
2025-05-28#t2763w0,2025,45
2026-05-14#t3192w2,2026,45
2025-11-05#t691w3,2025,45
2023-10-26#t13579w0,2023,45
2025-03-20#t1160w2,2025,45
2025-12-04#t1538w0,2025,45
2026-03-24#t2257w0,2026,45
2024-03-22#t15652w0,2024,45
2020-06-18#t4741w0,2020,45
2026-05-13#t3069w0,2026,45
2024-05-16#t16835w2,2024,45
2025-11-20#t1188w1,2025,45
2026-05-14#t3113w0,2026,45
2025-10-28#t278w2,2025,45
2025-11-21#t1289w0,2025,45
2025-05-28#t2764w0,2025,45
2024-05-28#t16996w0,2024,45
2026-03-20#t2216w1,2026,45
2025-03-27#t1613w4,2025,45
2025-11-06#t811w2,2025,45
2024-05-16#t16816w1,2024,45
2024-05-09#t16449w2,2024,45
2025-05-08#t1898w3,2025,45
2025-12-05#t1617w0,2025,45
2025-10-29#t396w5,2025,45
2025-06-04#t3160w0,2025,45
2025-11-06#t801w2,2025,45
2026-05-07#t2815w0,2026,45
2025-10-30#t535w3,2025,45
2025-06-05#t3333w0,2025,45
2024-12-12#t840w0,2024,45
2026-03-20#t2235w2,2026,45
2025-10-24#t112w0,2025,45
2026-03-24#t2323w4,2026,45
2025-10-30#t533w0,2025,45
2025-11-19#t1034w0,2025,45
2026-05-06#t2743w0,2026,45
2025-11-20#t1161w0,2025,45
2025-11-20#t1114w0,2025,45
2026-05-14#t3104w0,2026,45
2025-06-05#t3336w4,2025,45
2025-05-14#t2312w1,2025,45
2025-10-29#t360w0,2025,45
2025-11-18#t995w0,2025,45
2026-05-13#t3083w2,2026,45
2025-05-09#t2016w0,2025,45
2021-12-01#t4880w0,2021,45
2023-11-23#t14342w2,2023,45
2024-11-28#t542w5,2024,45
2025-03-21#t1223w0,2025,45
2023-03-21#t10836w1,2023,45
2024-12-12#t737w0,2024,45
2025-05-14#t2312w7,2025,45
2025-05-13#t2044w0,2025,45
2025-05-07#t1805w2,2025,45
2025-10-24#t171w1,2025,45
2025-10-24#t147w0,2025,45
2025-12-09#t1632w0,2025,45
2025-10-29#t378w3,2025,45
2025-11-06#t805w1,2025,45
2026-05-13#t3058w0,2026,45
2026-05-13#t3045w0,2026,45
2026-03-20#t2143w0,2026,45
2025-05-27#t2645w5,2025,45
2024-05-16#t16834w1,2024,45
2025-05-14#t2245w4,2025,45
2024-06-06#t17555w0,2024,45
2025-11-19#t1066w0,2025,45
2026-05-06#t2648w0,2026,45
2025-05-30#t2948w0,2025,45
2025-10-22#t102w3,2025,45
2025-10-29#t378w7,2025,45
2025-05-27#t2662w3,2025,45
2025-03-27#t1626w3,2025,45
2025-06-05#t3342w7,2025,45
2025-06-05#t3335w0,2025,45
2022-11-24#t9841w8,2022,45
2025-12-09#t1625w0,2025,45
2025-06-03#t3141w1,2025,45
2024-05-16#t16836w1,2024,45
2024-12-12#t812w0,2024,45
2024-05-28#t17035w0,2024,45
2026-05-14#t3166w2,2026,45
2025-05-27#t2626w0,2025,45
2026-03-26#t2533w0,2026,45
2026-03-18#t2135w7,2026,45
2025-05-28#t2753w0,2025,45
2025-11-20#t1105w0,2025,45
2023-12-07#t15178w1,2023,45
2019-11-27#t191w0,2019,45
2025-05-28#t2783w1,2025,45
2023-11-02#t13868w5,2023,45
2026-03-25#t2398w0,2026,45
2023-10-26#t13584w1,2023,45
2026-05-14#t3188w3,2026,45
2025-12-04#t1550w5,2025,45
2026-05-06#t2705w0,2026,45
2023-12-05#t14931w4,2023,45
2025-03-20#t1160w1,2025,45
2025-03-27#t1626w6,2025,45
2025-06-04#t3237w1,2025,45
2025-11-21#t1235w0,2025,45
2024-05-16#t16744w0,2024,45
2025-11-05#t690w6,2025,45
2023-11-24#t14369w0,2023,45
2025-10-21#t4w0,2025,45
2025-05-29#t2914w1,2025,45
2025-05-06#t1712w1,2025,45
2025-12-02#t1365w0,2025,45
2023-06-08#t12539w3,2023,45
2025-06-05#t3342w0,2025,45
2026-03-26#t2551w3,2026,45
2022-10-28#t8767w4,2022,45
2021-12-14#t5696w0,2021,45
2024-05-08#t16322w1,2024,45
2025-05-06#t1716w2,2025,45
2020-12-08#t356w0,2020,45
2025-05-28#t2811w3,2025,45
2023-05-10#t11631w2,2023,45
2023-10-20#t13242w2,2023,45
2026-05-13#t3081w0,2026,45
2026-05-06#t2743w4,2026,45
2025-05-14#t2245w3,2025,45
2025-11-19#t1068w0,2025,45
2020-11-17#t25w7,2020,45
2026-03-20#t2234w4,2026,45
2026-05-14#t3192w6,2026,45
2025-05-28#t2811w2,2025,45
2023-05-11#t11774w4,2023,45
2024-06-06#t17660w2,2024,45
2026-05-14#t3191w0,2026,45
2025-11-20#t1098w0,2025,45
2024-12-12#t842w1,2024,45
2023-11-23#t14334w2,2023,45
2025-06-05#t3335w1,2025,45
2025-10-30#t439w0,2025,45
2025-10-24#t182w1,2025,45
2025-10-24#t125w0,2025,45
2026-05-13#t3071w3,2026,45
2020-12-15#t837w7,2020,45
2025-11-18#t1012w0,2025,45
2025-03-26#t1515w1,2025,45
2026-03-18#t2135w2,2026,45
2025-10-24#t168w0,2025,45
2025-05-14#t2245w0,2025,45
2025-03-19#t989w0,2025,45
2025-06-05#t3339w2,2025,45
2025-06-04#t3228w1,2025,45
2024-12-10#t630w0,2024,45
2025-10-21#t5w6,2025,45
2026-03-20#t2235w3,2026,45
2025-11-06#t745w0,2025,45
2025-05-06#t1716w0,2025,45
2025-05-14#t2331w7,2025,45
2026-03-26#t2546w6,2026,45
2025-05-30#t3040w2,2025,45
2025-05-29#t2912w2,2025,45
2025-06-04#t3161w0,2025,45
2025-11-04#t611w2,2025,45
2023-05-11#t11745w0,2023,45
2025-10-29#t378w0,2025,45
2025-06-05#t3342w5,2025,45
2024-05-07#t16118w0,2024,45
2025-05-15#t2456w1,2025,45
2023-05-17#t12036w5,2023,45
2023-11-02#t13868w0,2023,45
2025-05-30#t2961w0,2025,45
2026-05-07#t2774w0,2026,45
2026-03-20#t2234w0,2026,45
2025-11-19#t1037w0,2025,45
2025-03-18#t959w4,2025,45
2025-05-15#t2408w0,2025,45
2025-05-30#t2956w0,2025,45
2025-11-18#t1017w2,2025,45
2024-05-16#t16817w6,2024,45
2025-10-28#t230w0,2025,45
2026-03-24#t2324w1,2026,45
2025-05-29#t2923w1,2025,45
2025-05-29#t2885w0,2025,45
2026-03-20#t2154w0,2026,45
2025-11-06#t801w4,2025,42
2023-11-30#t14748w3,2023,42
2025-10-30#t535w1,2025,42
2026-03-25#t2355w0,2026,42
2026-05-13#t3019w0,2026,42
2025-10-30#t496w3,2025,42
2025-05-07#t1798w10,2025,40
2025-06-05#t3254w0,2025,40
2023-10-25#t13409w0,2023,40
2026-03-20#t2147w0,2026,40
2025-10-29#t396w9,2025,40
2023-11-02#t13868w3,2023,40
2025-10-28#t266w0,2025,40
2026-05-08#t2891w0,2026,40
2025-10-28#t299w6,2025,40
2024-11-28#t523w1,2024,40
2018-10-26#t140w0,2018,40
2025-12-02#t1361w0,2025,40
2025-10-24#t192w1,2025,40
2025-11-06#t811w1,2025,40
2025-12-03#t1416w0,2025,40
2022-11-16#t9255w0,2022,40
2025-11-06#t814w0,2025,40
2021-11-30#t4825w0,2021,40
2023-05-10#t11631w4,2023,40
2024-11-26#t240w0,2024,40
2025-12-05#t1622w4,2025,40
2025-05-28#t2784w1,2025,40
2024-05-16#t16817w2,2024,40
2025-05-27#t2568w0,2025,40
2026-05-07#t2834w0,2026,40
2025-03-25#t1358w1,2025,40
2025-11-07#t847w0,2025,40
2026-03-26#t2536w0,2026,40
2026-05-14#t3139w0,2026,40
2024-12-12#t842w4,2024,40
2025-03-27#t1537w0,2025,40
2026-03-20#t2228w1,2026,40
2025-10-30#t536w3,2025,40
2025-06-04#t3195w0,2025,40
2025-10-29#t400w7,2025,40
2023-06-13#t12655w0,2023,40
2025-11-18#t950w0,2025,40
2025-05-14#t2180w0,2025,40
2025-05-30#t3040w1,2025,40
2025-05-27#t2573w0,2025,40
2026-05-07#t2852w0,2026,40
2025-03-26#t1445w0,2025,40
2026-03-20#t2228w5,2026,40
2026-05-06#t2647w0,2026,40
2025-06-05#t3342w4,2025,40
2025-12-05#t1609w0,2025,40
2026-03-25#t2450w0,2026,40
2025-12-04#t1477w0,2025,40
2026-03-25#t2444w7,2026,40
2025-10-24#t191w4,2025,40
2026-03-25#t2394w0,2026,40
2026-05-13#t3085w0,2026,40
2026-03-20#t2234w1,2026,40
2023-03-24#t10952w0,2023,40
2023-11-02#t13868w1,2023,40
2025-05-14#t2331w5,2025,40
2026-03-17#t2032w2,2026,40
2025-12-02#t1313w0,2025,40
2025-10-30#t536w1,2025,40
2022-11-01#t8867w11,2022,40
2026-05-14#t3199w5,2026,40
2024-05-28#t17034w0,2024,40
2025-10-30#t431w0,2025,40
2024-12-10#t570w0,2024,40
2025-10-24#t191w5,2025,40
2025-05-28#t2783w3,2025,40
2025-11-05#t684w1,2025,40
2023-11-23#t14329w3,2023,40
2025-10-29#t408w0,2025,40
2023-11-30#t14719w4,2023,40
2024-12-12#t743w0,2024,40
2026-05-06#t2710w0,2026,40
2025-11-21#t1220w0,2025,40
2023-11-30#t14748w1,2023,40
2025-05-14#t2182w0,2025,40
2025-12-02#t1301w0,2025,40
2025-05-16#t2533w3,2025,40
2019-11-26#t2601w0,2019,40
2025-05-15#t2363w0,2025,40
2025-12-04#t1518w0,2025,40
2024-11-28#t537w1,2024,40
2025-05-13#t2032w0,2025,40
2025-03-26#t1515w4,2025,40
2025-05-14#t2245w5,2025,40
2026-03-20#t2235w5,2026,40
2025-10-29#t401w0,2025,40
2024-05-09#t16456w2,2024,40
2026-05-07#t2817w0,2026,40
2025-03-21#t1176w0,2025,40
2018-10-30#t218w0,2018,40
2025-12-04#t1515w0,2025,40
2025-11-19#t1030w0,2025,38
2025-11-21#t1286w0,2025,38
2022-10-25#t8570w1,2022,38
2023-10-26#t13553w2,2023,38
2025-10-29#t401w1,2025,38
2024-12-12#t738w0,2024,38
2025-10-24#t178w1,2025,38
2026-03-25#t2418w1,2026,38
2026-03-24#t2323w2,2026,38
2025-10-29#t313w0,2025,38
2025-11-20#t1194w2,2025,38
2025-06-04#t3150w0,2025,38
2023-12-05#t14921w0,2023,35
2025-11-05#t690w5,2025,35
2021-06-01#t3042w4,2021,35
2024-05-28#t17036w4,2024,35
2023-06-13#t12722w1,2023,35
2026-05-06#t2741w2,2026,35
2025-03-19#t994w0,2025,35
2024-12-12#t812w3,2024,35
2025-12-04#t1538w5,2025,35
2025-05-15#t2446w0,2025,35
2024-11-27#t347w0,2024,35
2025-05-14#t2312w0,2025,35
2025-05-30#t3017w0,2025,35
2023-05-11#t11766w6,2023,35
2024-11-19#t12w0,2024,35
2020-12-09#t524w0,2020,35
2026-05-14#t3116w0,2026,35
2018-10-31#t379w5,2018,35
2025-11-05#t687w2,2025,35
2021-06-10#t3537w0,2021,35
2025-05-08#t1912w1,2025,35
2026-03-25#t2349w0,2026,35
2025-05-28#t2713w0,2025,35
2025-11-07#t845w0,2025,35
2025-12-11#t1856w0,2025,35
2022-11-03#t9118w0,2022,35
2024-05-09#t16446w0,2024,35
2026-05-14#t3201w2,2026,35
2026-03-24#t2295w0,2026,35
2025-11-06#t799w2,2025,35
2023-10-24#t13340w13,2023,35
2026-05-07#t2805w0,2026,35
2026-03-26#t2548w4,2026,35
2026-05-07#t2839w0,2026,35
2025-03-27#t1620w1,2025,35
2026-05-07#t2851w2,2026,35
2026-03-26#t2539w0,2026,35
2025-10-29#t366w0,2025,35
2025-10-22#t101w7,2025,35
2023-10-24#t13279w0,2023,35
2025-11-05#t694w1,2025,35
2025-10-21#t4w7,2025,35
2024-05-17#t16933w0,2024,35
2025-12-05#t1622w0,2025,35
2018-10-26#t186w1,2018,35
2023-05-16#t11908w0,2023,35
2025-11-04#t608w1,2025,35
2021-12-01#t4875w0,2021,35
2019-11-27#t230w13,2019,35
2024-03-28#t16097w0,2024,35
2025-03-27#t1613w2,2025,35
2025-05-16#t2532w1,2025,35
2024-03-20#t15526w0,2024,35
2025-05-07#t1732w0,2025,35
2025-06-03#t3069w0,2025,35
2024-05-09#t16376w0,2024,35
2025-10-29#t407w2,2025,35
2024-03-19#t15510w1,2024,35
2019-05-10#t30w0,2019,35
2025-10-28#t265w0,2025,35
2025-12-12#t1956w0,2025,35
2025-03-19#t1096w5,2025,35
2026-03-20#t2156w0,2026,35
2025-03-19#t1135w2,2025,35
2025-10-24#t119w0,2025,35
2018-11-28#t933w0,2018,35
2019-11-22#t2480w0,2019,35
2023-10-17#t13055w3,2023,35
2023-10-25#t13431w0,2023,35
2025-12-10#t1722w0,2025,35
2025-05-08#t1896w1,2025,35
2025-05-08#t1892w0,2025,35
2025-11-07#t894w0,2025,35
2026-03-20#t2228w4,2026,35
2023-05-16#t11860w0,2023,35
2025-05-08#t1878w0,2025,35
2025-05-07#t1798w11,2025,35
2025-10-29#t322w0,2025,35
2025-11-18#t992w0,2025,35
2025-05-28#t2689w0,2025,35
2022-12-13#t10448w0,2022,35
2018-11-30#t988w3,2018,35
2026-03-27#t2558w4,2026,35
2025-11-05#t652w0,2025,35
2025-05-15#t2456w0,2025,35
2026-03-25#t2444w10,2026,35
2023-06-08#t12520w0,2023,35
2025-05-30#t3014w0,2025,35
2024-11-22#t225w6,2024,35
2025-03-18#t965w0,2025,35
2024-03-26#t15804w12,2024,35
2025-10-21#t4w4,2025,35
2025-05-14#t2312w2,2025,35
2024-03-27#t15922w0,2024,35
2022-11-22#t9639w0,2022,35
2025-05-28#t2808w0,2025,35
2025-06-05#t3330w2,2025,35
2018-11-28#t971w10,2018,35
2024-11-27#t444w9,2024,35
2024-05-07#t16185w0,2024,35
2025-12-05#t1572w0,2025,35
2021-05-21#t2939w5,2021,35
2021-05-12#t2226w8,2021,35
2025-11-06#t747w0,2025,35
2025-10-24#t191w3,2025,35
2025-05-28#t2694w0,2025,35
2026-05-06#t2714w0,2026,35
2025-05-28#t2701w0,2025,35
2026-03-24#t2244w0,2026,35
2025-11-18#t1017w3,2025,35
2025-10-21#t4w10,2025,35
2025-10-30#t483w0,2025,35
2024-11-26#t247w0,2024,35
2024-11-22#t143w0,2024,35
2026-03-26#t2481w0,2026,35
2026-03-24#t2292w0,2026,35
2024-11-27#t346w0,2024,35
2023-12-07#t15122w0,2023,35
2024-05-09#t16434w0,2024,35
2025-03-25#t1381w7,2025,35
2024-11-20#t44w0,2024,35
2025-05-15#t2358w0,2025,35
2025-05-27#t2646w0,2025,35
2026-03-20#t2207w1,2026,35
2026-05-05#t2622w0,2026,35
2023-05-11#t11747w0,2023,35
2023-11-28#t14510w0,2023,35
2026-05-14#t3109w0,2026,35
2025-05-07#t1780w0,2025,35
2025-03-26#t1515w6,2025,35
2025-05-28#t2707w0,2025,35
