blind_id,sid,group,opus_ai_guess
S056,2026-05-07#t2830w5,cand_ai,85
S057,2026-05-05#t2616w0,B_human,20
S058,2025-11-18#t1002w0,B_human,10
S059,2023-11-23#t14342w6,cand_ai,80
S060,2025-11-06#t766w0,B_human,8
S061,2025-12-03#t1439w0,cand_human,10
S062,2023-05-10#t11631w2,cand_ai,55
S063,2025-11-18#t1014w2,B_human,8
S064,2019-12-12#t361w1,ctl2019,5
S065,2025-12-04#t1466w0,cand_ai,72
S066,2026-03-24#t2311w0,B_human,15
S067,2023-10-26#t13579w0,cand_human,65
S068,2026-05-06#t2700w0,B_human,70
S069,2025-12-03#t1441w0,cand_ai,85
S070,2026-05-08#t2948w0,cand_ai,75
S071,2026-05-07#t2871w4,cand_ai,88
S072,2025-12-11#t1802w0,B_human,30
S073,2023-06-09#t12644w5,cand_human,5
S074,2025-10-29#t327w0,B_human,5
S075,2019-11-27#t230w9,ctl2019,30
S076,2025-11-21#t1269w0,B_human,8
S077,2025-12-11#t1859w0,cand_ai,72
S078,2025-11-07#t915w0,B_human,25
S079,2025-12-03#t1396w0,cand_ai,65
S080,2025-11-20#t1215w1,B_human,4
S081,2025-10-30#t491w0,cand_human,5
S082,2025-12-04#t1550w1,cand_ai,88
S083,2023-12-05#t14931w1,cand_ai,72
S084,2019-12-12#t330w0,ctl2019,5
S085,2026-05-07#t2832w1,B_human,25
S086,2026-05-14#t3171w0,B_human,10
S087,2026-05-14#t3160w0,cand_ai,70
S088,2026-03-25#t2453w3,B_human,30
S089,2026-05-07#t2871w5,cand_human,78
S090,2025-11-18#t951w0,cand_human,20
S091,2019-11-27#t267w8,ctl2019,3
S092,2026-03-25#t2355w0,cand_human,55
S093,2019-05-10#t81w0,ctl2019,10
S094,2024-05-16#t16835w1,cand_ai,88
S095,2025-11-21#t1271w0,B_human,8
S096,2023-05-10#t11631w3,cand_ai,80
S097,2026-03-24#t2322w9,B_human,15
S098,2025-12-03#t1430w0,B_human,15
S099,2025-12-02#t1358w0,cand_human,60
S100,2026-03-18#t2135w12,B_ai,78
S101,2026-05-05#t2615w0,B_human,15
S102,2026-03-18#t2064w0,B_human,25
S103,2026-03-24#t2320w1,B_human,8
S104,2025-11-05#t690w1,B_ai,55
S105,2026-03-25#t2363w0,B_human,20
S106,2025-12-10#t1759w0,cand_human,22
S107,2024-06-06#t17615w0,cand_human,7
S108,2026-03-18#t2043w0,cand_ai,65
S109,2024-05-16#t16835w3,cand_ai,45
S110,2025-10-22#t102w1,cand_human,30
S111,2025-12-09#t1692w1,B_human,45
S112,2026-03-20#t2144w0,cand_ai,60
S113,2025-10-30#t531w0,cand_human,5
S114,2019-12-12#t294w0,ctl2019,10
S115,2026-05-14#t3100w0,cand_human,55
S116,2025-12-11#t1848w0,B_human,10
S117,2026-05-07#t2790w0,B_human,15
S118,2025-10-22#t93w0,cand_human,20
S119,2026-03-18#t2107w0,B_human,25
S120,2025-10-24#t175w3,cand_human,3
S121,2023-11-23#t14308w0,cand_human,88
S122,2019-12-12#t318w0,ctl2019,5
S123,2026-05-06#t2644w0,cand_ai,25
S124,2026-03-26#t2533w0,cand_human,45
S125,2025-10-24#t150w0,B_human,10
S126,2025-10-22#t18w0,cand_human,20
S127,2026-03-25#t2343w0,cand_human,55
S128,2025-10-29#t305w0,cand_ai,50
S129,2026-03-25#t2412w0,B_human,8
S130,2026-03-24#t2322w4,cand_human,5
S131,2024-05-16#t16835w2,cand_human,55
S132,2026-05-08#t2976w0,B_human,3
S133,2025-11-18#t938w0,cand_human,15
S134,2026-03-20#t2201w0,B_ai,60
S135,2026-03-26#t2551w0,cand_ai,75
S136,2025-10-29#t325w0,B_human,45
S137,2025-10-24#t175w2,B_human,10
S138,2023-05-10#t11631w5,cand_ai,80
S139,2019-11-27#t261w4,ctl2019,8
S140,2026-05-13#t3063w0,cand_ai,62
S141,2026-05-13#t3058w0,cand_ai,55
S142,2019-12-12#t371w0,ctl2019,8
S143,2025-10-29#t371w0,B_human,40
S144,2023-05-10#t11631w4,cand_ai,58
S145,2025-12-10#t1767w0,B_human,20
S146,2024-05-16#t16835w4,cand_human,52
S147,2019-11-27#t198w0,cand_human,10
S148,2023-03-29#t11269w0,cand_human,3
S149,2025-10-22#t48w0,B_human,10
S150,2026-05-05#t2605w0,B_human,25
S151,2026-03-25#t2449w0,B_human,8
S152,2025-10-29#t337w0,cand_human,6
S153,2025-11-21#t1276w0,B_human,15
S154,2024-05-16#t16835w5,cand_human,55
S155,2025-12-02#t1333w0,cand_human,5
S156,2025-12-09#t1640w0,B_human,10
S157,2025-10-24#t139w0,B_human,12
S158,2025-12-10#t1730w0,cand_ai,78
S159,2026-05-06#t2703w0,cand_ai,80
S160,2025-10-28#t288w5,B_human,10
S161,2025-12-10#t1783w0,cand_ai,88
S162,2019-11-27#t165w0,ctl2019,20
S163,2026-03-18#t2047w1,B_human,5
S164,2025-12-11#t1817w0,B_human,6
S165,2019-12-12#t398w4,ctl2019,4
S166,2019-11-27#t230w2,ctl2019,55
S167,2019-12-12#t382w0,ctl2019,6
S168,2025-12-11#t1822w0,B_human,15
S169,2026-05-07#t2871w3,cand_ai,80
S170,2023-12-06#t15084w2,cand_ai,72
S171,2025-11-20#t1192w1,cand_human,15
S172,2026-05-13#t3084w0,B_human,25
S173,2019-11-27#t161w0,ctl2019,8
S174,2025-12-10#t1743w0,cand_ai,65
S175,2024-05-16#t16835w6,cand_human,45
S176,2025-10-30#t495w1,B_human,12
S177,2025-11-05#t660w0,B_human,15
S178,2026-05-13#t3072w1,B_ai,88
S179,2025-12-12#t2026w1,cand_human,20
S180,2026-03-24#t2321w2,cand_human,25
S181,2026-03-26#t2554w4,B_human,30
S182,2025-12-09#t1645w0,B_human,20
S183,2019-11-27#t185w0,cand_human,8
S184,2025-10-30#t482w0,cand_human,10
S185,2025-12-11#t1816w0,B_human,30
S186,2025-11-06#t790w0,B_human,18
S187,2019-11-27#t238w4,ctl2019,40
S188,2025-12-09#t1625w0,cand_ai,55
S189,2026-03-24#t2307w2,cand_human,45
S190,2025-12-11#t1803w0,cand_ai,45
S191,2023-11-30#t14720w2,cand_ai,60
S192,2019-05-10#t82w0,ctl2019,5
S193,2026-05-06#t2648w0,cand_human,65
S194,2023-03-30#t11384w1,cand_human,3
S195,2026-03-24#t2305w3,cand_ai,80
S196,2023-12-05#t14931w4,cand_ai,85
S197,2025-11-05#t646w0,B_human,8
S198,2025-10-30#t515w1,B_human,15
S199,2025-10-24#t178w1,cand_ai,75
S200,2026-05-07#t2771w0,B_human,8
S201,2025-11-06#t803w1,cand_ai,88
S202,2019-12-12#t385w3,ctl2019,10
S203,2025-11-20#t1098w0,cand_human,45
S204,2026-03-18#t2051w0,B_human,12
S205,2023-12-01#t14834w1,cand_human,5
S206,2023-05-11#t11745w0,cand_ai,72
S207,2026-05-06#t2693w0,B_human,10
S208,2025-10-28#t280w1,B_human,8
S209,2025-12-05#t1565w0,cand_human,25
S210,2024-05-07#t16123w0,cand_ai,55
S211,2019-12-12#t327w0,ctl2019,10
S212,2026-05-13#t2998w0,cand_ai,45
S213,2019-11-27#t145w0,ctl2019,20
S214,2025-10-30#t534w3,B_ai,50
S215,2025-10-28#t262w0,cand_human,30
S216,2025-12-03#t1388w0,cand_human,25
S217,2026-05-06#t2742w1,B_ai,65
S218,2025-11-05#t632w0,cand_ai,60
S219,2019-11-27#t256w0,cand_human,3
S220,2025-10-24#t189w4,B_human,25
S221,2025-10-30#t427w0,cand_ai,45
S222,2024-06-06#t17660w1,cand_ai,55
S223,2026-03-25#t2350w0,cand_ai,60
S224,2019-11-27#t217w0,ctl2019,20
S225,2026-03-20#t2162w0,B_human,40
S226,2025-10-22#t22w0,cand_human,45
S227,2025-10-30#t430w0,cand_ai,65
S228,2026-03-20#t2229w0,cand_human,70
S229,2019-12-12#t398w0,ctl2019,8
S230,2025-11-07#t914w0,B_human,15
S231,2025-10-22#t32w0,B_human,10
S232,2023-05-11#t11774w0,cand_ai,92
S233,2019-12-12#t385w7,ctl2019,10
S234,2026-03-25#t2368w0,B_human,8
S235,2026-03-25#t2431w0,B_human,3
S236,2019-11-27#t137w0,ctl2019,20
S237,2026-05-14#t3166w1,B_human,65
S238,2025-11-06#t792w0,cand_human,8
S239,2026-03-20#t2229w1,B_human,55
S240,2025-12-05#t1574w0,cand_human,55
