coding,word,occ_2018_2026,takeoff_year,cross_top,cross_bottom,d_bottom_minus_top,level_cross_top,level_cross_bottom,occ_top,occ_bottom
EGP,crafting,1111,,2015.92,2016.79,+0.87,2006.00,2006.00,738,133
EGP,crucial,33656,,2015.75,2018.17,+2.42,2006.00,2010.89,17307,3395
EGP,declare,11634,,2016.08,2016.38,+0.30,2006.00,2006.00,6869,2232
EGP,declared,13911,,2016.09,2015.41,-0.68,2006.00,2006.00,8251,2678
EGP,delve,1114,,2016.47,2018.10,+1.63,2006.00,2006.62,490,188
EGP,demonstrated,17217,,2015.66,2014.74,-0.91,2006.00,2006.00,11668,3001
EGP,demonstrates,11598,,2015.15,2015.90,+0.75,2006.00,2006.00,7260,1789
EGP,demonstrating,4953,,2016.34,2016.38,+0.04,2006.00,2008.63,2647,708
EGP,despite,77944,,2016.38,2016.84,+0.47,2006.00,2006.00,43671,10580
EGP,detailing,1895,,2015.73,2016.65,+0.93,2006.00,2006.00,1263,337
EGP,diminishes,1041,,2015.87,2015.91,+0.04,2006.00,2006.00,636,140
EGP,diminishing,1721,,2014.44,2014.90,+0.45,2006.00,2006.00,1141,365
EGP,displaying,1451,,2017.42,2016.74,-0.68,2006.00,2006.00,715,238
EGP,distinct,5789,,2015.44,2015.34,-0.10,2006.00,2006.00,3601,944
EGP,distinctive,1204,,2013.57,2015.68,+2.11,2006.00,2006.00,927,154
EGP,diverse,23948,,2017.08,2016.97,-0.11,2006.00,2006.00,10890,2468
EGP,during,251919,,2016.72,2016.29,-0.43,2006.00,2006.00,141383,38564
EGP,easing,2824,2019,2017.08,2019.41,+2.33,2007.18,2018.58,1517,279
EGP,effectively,45587,,2014.75,2014.62,-0.13,2006.00,2006.00,34325,8452
EGP,elevate,1638,2022,2019.34,2019.18,-0.16,2016.29,2007.80,756,162
EGP,elevated,2676,,2018.11,2018.25,+0.14,2006.78,2020.21,1428,366
EGP,elucidate,1035,2021,2018.54,2017.03,-1.51,2006.00,2009.86,462,91
EGP,embracing,2872,,2016.51,2017.75,+1.24,2006.00,2013.58,1497,386
EGP,emerged,4350,,2014.38,2015.37,+0.99,2006.00,2006.00,3402,574
EGP,emerges,984,,2013.89,2015.28,+1.40,2006.00,2006.00,863,124
EGP,emphasises,1056,,2014.68,2014.87,+0.19,2006.00,2006.00,773,170
EGP,emphasising,966,,2015.49,2016.63,+1.14,2006.00,2009.96,669,97
EGP,emphasize,2764,,2014.16,2014.86,+0.70,2006.00,2006.00,1810,353
EGP,employed,21468,,2014.87,2014.91,+0.03,2006.00,2006.00,14016,4433
EGP,employing,5261,,2015.24,2016.67,+1.43,2006.00,2006.00,3207,1259
EGP,employs,4222,,2015.04,2015.00,-0.04,2006.00,2006.00,2610,1092
EGP,empowers,2863,2025,2018.03,2017.63,-0.41,2010.88,2023.12,1356,315
EGP,enabling,16196,,2016.66,2017.90,+1.23,2006.00,2012.22,8399,2246
EGP,encompass,1544,,2014.94,2016.46,+1.53,2006.00,2006.00,930,275
EGP,encompasses,1440,,2014.54,2015.14,+0.60,2006.00,2006.00,948,310
EGP,encompassing,1087,,2013.98,2014.35,+0.37,2006.00,2006.00,620,226
EGP,endangering,1136,,2019.38,2015.15,-4.23,2006.00,2006.00,689,175
EGP,endeavours,3318,,2015.49,2014.39,-1.10,2006.00,2006.00,1788,848
EGP,enduring,6699,2026,2018.32,2018.25,-0.08,2017.89,2015.69,3841,688
EGP,enhance,20597,,2015.17,2015.17,-0.00,2006.00,2006.00,12185,3590
EGP,enhanced,13929,,2015.68,2014.54,-1.14,2006.00,2006.00,9100,2220
EGP,enhancements,2391,,2016.35,2013.22,-3.13,2006.00,2006.00,1442,363
EGP,enhances,2301,,2015.19,2015.65,+0.47,2006.00,2007.05,1381,384
EGP,enhancing,7937,,2015.88,2016.42,+0.54,2006.00,2006.00,4215,1021
EGP,ensuring,98086,,2016.43,2018.22,+1.79,2006.00,2011.63,47540,12307
EGP,equipping,1109,,2015.90,2018.10,+2.20,2006.00,2006.00,667,109
EGP,escalating,3605,2025,2018.17,2019.39,+1.22,2006.00,2022.13,1721,414
EGP,essentials,2365,2021,2020.48,2020.49,+0.01,2020.27,2006.48,725,182
EGP,evolving,5047,2025,2017.63,2017.25,-0.38,2006.00,2006.00,2269,530
EGP,exacerbating,991,2021,2019.38,2021.56,+2.18,2006.00,2016.77,472,87
EGP,exceeding,2918,,2015.80,2014.61,-1.19,2006.00,2006.00,1799,562
EGP,exceptional,14283,,2016.40,2016.47,+0.07,2006.00,2006.00,8387,1922
EGP,exceptionally,4081,,2015.52,2014.62,-0.89,2006.00,2006.00,2379,427
EGP,exhibit,1772,,2015.59,2015.89,+0.30,2006.00,2006.00,1515,267
EGP,exhibited,1136,,2015.56,2015.23,-0.34,2006.00,2006.00,835,241
EGP,exhibits,1365,,2019.70,2014.64,-5.06,2006.00,2006.00,1166,193
EGP,expedite,3575,,2017.74,2017.57,-0.17,2006.00,2006.00,1784,421
EGP,expediting,832,2023,2017.96,2018.57,+0.61,2006.00,2006.00,387,83
EGP,exploration,8517,,2014.76,2012.65,-2.11,2006.00,2006.00,6095,2539
EGP,facilitated,3708,,2017.71,2016.59,-1.12,2011.97,2006.00,2021,532
EGP,facilitates,1653,,2015.24,2015.27,+0.03,2006.00,2006.00,1070,279
EGP,facilitating,4768,,2016.05,2015.54,-0.51,2006.00,2006.00,2965,674
EGP,featuring,1422,,2018.20,2017.25,-0.95,2022.12,2006.00,686,166
EGP,fight,50074,,2017.48,2016.78,-0.70,2006.00,2006.00,25628,5749
EGP,findings,21561,,2016.36,2016.84,+0.48,2006.00,2006.00,13387,3397
EGP,focusing,13159,,2016.16,2017.51,+1.35,2006.00,2008.08,7280,1547
EGP,formidable,1471,,2016.21,2017.29,+1.08,2006.00,2006.00,964,138
EGP,fostering,4565,2023,2016.79,2018.43,+1.64,2006.00,2022.39,1917,405
EGP,fosters,1119,2024,2017.85,2017.78,-0.07,2009.74,2006.58,478,109
EGP,foundational,4086,2018,2020.82,2022.68,+1.87,2018.54,2023.56,1295,197
EGP,grappling,1871,2021,2019.60,2020.67,+1.07,2017.34,2021.36,784,160
EGP,groundbreaking,3546,,2017.11,2018.02,+0.91,2006.00,2006.00,1818,344
EGP,groundwork,1872,,2017.51,2018.60,+1.09,2006.79,2009.51,890,189
EGP,hardest,6605,2020,2017.87,2016.89,-0.98,2006.00,2006.65,2954,692
EGP,harness,3518,,2015.94,2012.50,-3.45,2006.00,2006.00,1870,796
EGP,harnessing,861,,2016.65,2015.14,-1.51,2006.00,2006.00,474,81
EGP,heightened,2277,,2017.77,2018.13,+0.36,2006.00,2011.71,1174,269
EGP,highlight,31194,,2017.11,2017.54,+0.43,2006.00,2006.00,14584,3937
EGP,highlighting,8279,,2017.59,2019.36,+1.76,2009.29,2020.90,3685,1066
EGP,highlights,14378,,2016.26,2015.89,-0.37,2006.00,2006.00,7531,2238
EGP,hinder,1747,,2015.61,2016.19,+0.58,2006.00,2006.00,1027,278
EGP,hold,63465,,2016.43,2016.51,+0.08,2006.00,2006.00,37079,9498
EGP,holds,11102,,2016.27,2016.20,-0.07,2006.00,2006.00,6600,1809
EGP,however,206186,,2013.06,2013.34,+0.28,2006.00,2006.00,171552,45449
EGP,identified,46487,,2015.24,2014.81,-0.43,2006.00,2006.00,29380,9023
EGP,impact,201820,,2016.48,2016.44,-0.04,2006.00,2006.00,104789,27368
EGP,impactful,2482,2017,2022.48,2022.83,+0.34,2020.44,2020.96,668,94
EGP,impacting,9345,2022,2019.27,2019.94,+0.67,2015.26,2016.44,3120,1188
EGP,impede,1887,,2015.38,2016.54,+1.16,2006.00,2006.00,1327,292
EGP,imperative,8906,,2016.11,2016.55,+0.44,2006.00,2006.00,4934,1174
EGP,impressive,7630,,2015.92,2016.29,+0.37,2006.00,2006.00,5186,976
EGP,including,318907,,2017.25,2017.13,-0.12,2006.00,2006.00,180085,39489
EGP,incorporates,1686,,2015.54,2014.18,-1.36,2006.00,2006.00,1182,274
EGP,incorporating,2016,,2015.55,2016.58,+1.03,2006.00,2006.00,1348,353
EGP,indicating,3969,,2014.96,2013.30,-1.66,2006.00,2006.00,3122,1041
EGP,individuals,108740,,2015.72,2015.71,-0.01,2006.00,2006.00,64471,14097
EGP,influencing,1331,,2015.63,2015.76,+0.13,2006.00,2006.00,868,182
EGP,inherent,4466,,2014.20,2014.87,+0.67,2006.00,2006.00,3077,620
EGP,initially,10782,,2014.90,2015.18,+0.27,2006.00,2006.00,7430,2084
EGP,innovative,18570,,2015.06,2014.91,-0.15,2006.00,2006.00,12149,2580
EGP,inquiries,10920,,2014.96,2016.35,+1.39,2006.00,2006.00,7869,2035
EGP,insights,3577,2022,2020.13,2020.58,+0.45,2020.18,2017.91,1490,234
EGP,integrating,1451,,2015.06,2015.29,+0.23,2006.00,2006.00,912,205
EGP,integration,8166,,2015.55,2015.18,-0.38,2006.00,2006.00,5765,1131
EGP,into,640763,,2015.60,2015.30,-0.30,2006.00,2006.00,377724,117887
EGP,introduces,7807,2026,2016.37,2015.89,-0.48,2006.00,2008.20,4112,1173
EGP,invaluable,6760,,2017.34,2016.68,-0.66,2006.00,2006.00,3494,817
EGP,involves,10597,,2013.56,2013.27,-0.29,2006.00,2006.00,9555,2162
EGP,involving,14397,,2013.43,2013.78,+0.35,2006.00,2006.00,13145,3077
EGP,leading,54247,,2016.79,2017.08,+0.29,2006.00,2006.00,29475,7007
EGP,leveraging,1478,,2017.22,2017.92,+0.70,2007.66,2007.28,713,125
EGP,like,653010,,2016.56,2016.37,-0.18,2006.00,2006.00,300432,102236
EGP,limitations,7633,,2015.34,2016.30,+0.95,2006.00,2006.00,5643,1011
EGP,linked,11612,,2015.83,2016.38,+0.56,2006.00,2006.00,7243,1776
EGP,maintaining,17325,,2015.59,2016.00,+0.41,2006.00,2006.00,10453,2988
EGP,midst,6193,2019,2018.32,2019.07,+0.75,2006.00,2006.00,2825,556
EGP,multifaceted,1231,2024,2017.60,2018.97,+1.38,2006.00,2017.35,599,137
EGP,necessity,6930,,2015.44,2015.82,+0.38,2006.00,2006.00,4950,1035
EGP,need,800213,,2015.99,2016.51,+0.52,2006.00,2006.00,420930,111681
EGP,notable,3549,,2015.81,2015.69,-0.11,2006.00,2006.00,2150,489
EGP,notably,4617,,2016.20,2018.00,+1.79,2006.00,2006.00,2760,655
EGP,nuanced,1375,2019,2019.63,2022.20,+2.57,2014.34,2020.06,600,77
EGP,nuances,826,,2016.76,2017.21,+0.46,2006.00,2006.00,340,117
EGP,observed,5578,,2014.98,2014.95,-0.03,2006.00,2006.00,4114,873
EGP,offer,70920,,2015.42,2015.34,-0.08,2006.00,2006.00,43693,10221
EGP,offering,20879,,2015.42,2016.49,+1.07,2006.00,2006.00,11401,2871
EGP,offers,17978,,2015.07,2015.30,+0.24,2006.00,2006.00,10263,2435
EGP,outcomes,61555,,2016.71,2016.68,-0.03,2007.03,2009.47,30835,9434
EGP,outlines,6007,,2015.83,2017.43,+1.60,2006.00,2006.00,2845,1005
EGP,overlook,1070,,2015.17,2015.36,+0.19,2006.00,2006.00,681,136
EGP,overwhelmed,4260,2020,2019.45,2019.27,-0.18,2006.00,2009.12,1779,398
EGP,particularly,188237,,2015.57,2014.80,-0.77,2006.00,2006.00,117033,31168
EGP,paving,1888,,2014.62,2013.44,-1.18,2006.00,2006.00,812,335
EGP,persist,2002,,2016.42,2016.01,-0.41,2006.00,2007.17,1186,209
EGP,pioneering,1851,,2016.01,2016.52,+0.51,2006.00,2007.47,1073,200
EGP,pioneers,1088,,2015.56,2014.26,-1.30,2006.00,2006.00,620,212
EGP,pivotal,4144,2023,2019.08,2018.38,-0.70,2006.00,2006.00,2057,443
EGP,poised,1019,,2017.17,2019.75,+2.58,2006.00,2006.00,665,118
EGP,pose,7567,,2016.14,2017.15,+1.01,2006.00,2006.16,4896,1226
EGP,posed,7320,,2017.14,2016.25,-0.88,2006.00,2006.00,4892,989
EGP,poses,5057,,2017.33,2018.14,+0.81,2006.00,2016.34,3215,633
EGP,posing,1275,,2017.27,2018.14,+0.88,2006.00,2007.46,714,163
EGP,postponed,2830,,2016.06,2016.78,+0.71,2006.00,2006.00,1750,321
EGP,potential,89721,,2015.43,2015.21,-0.22,2006.00,2006.00,55390,15212
EGP,potentially,38693,,2017.19,2018.30,+1.11,2006.00,2006.00,20301,6155
EGP,precise,3903,,2014.21,2012.47,-1.74,2006.00,2006.00,3701,511
EGP,predominantly,4509,,2015.37,2016.45,+1.08,2006.00,2006.00,2413,856
EGP,presents,7391,,2015.47,2015.37,-0.10,2006.00,2006.00,4380,1072
EGP,preserving,5727,,2016.46,2018.47,+2.01,2006.00,2018.76,3509,656
EGP,pressing,7915,,2015.68,2017.03,+1.36,2006.00,2006.00,5077,867
EGP,prevalent,2931,,2015.94,2016.49,+0.56,2006.00,2006.00,1622,465
EGP,primarily,11092,,2014.78,2014.27,-0.51,2006.00,2006.00,8241,1901
EGP,primary,84214,,2015.99,2015.30,-0.70,2006.00,2006.00,43359,15543
EGP,promise,39291,,2015.74,2014.15,-1.60,2006.00,2006.00,23084,5842
EGP,promising,5686,,2015.69,2014.60,-1.09,2006.00,2006.00,3561,843
EGP,pronounced,919,,2015.73,2016.81,+1.09,2006.00,2006.00,598,134
EGP,providing,112292,,2015.59,2015.48,-0.11,2006.00,2006.00,65665,17528
EGP,realm,2481,,2015.06,2016.23,+1.17,2006.00,2006.00,1240,349
EGP,recognizing,12165,,2016.34,2016.39,+0.05,2006.00,2006.00,5176,1362
EGP,refine,1485,,2016.42,2016.46,+0.04,2006.00,2010.34,893,218
EGP,refining,1207,,2014.41,2015.91,+1.50,2006.00,2024.10,694,227
EGP,remains,47421,,2016.34,2016.88,+0.55,2006.00,2007.76,27994,6073
EGP,remarkable,19169,,2016.62,2017.21,+0.60,2006.00,2006.72,10797,1994
EGP,renowned,3705,,2015.57,2015.61,+0.03,2006.00,2006.00,1914,745
EGP,research,95795,,2014.71,2014.12,-0.59,2006.00,2006.00,68057,16793
EGP,resulting,11609,,2015.20,2016.47,+1.27,2006.00,2006.00,7633,2016
EGP,rethink,2578,,2015.22,2018.39,+3.17,2006.00,2006.00,1410,397
EGP,revealed,11141,,2015.95,2017.10,+1.15,2006.00,2006.00,6689,1593
EGP,revealing,1642,,2016.21,2014.18,-2.02,2006.00,2006.00,1250,222
EGP,reveals,2334,,2014.22,2015.61,+1.39,2006.00,2006.00,1693,344
EGP,role,151995,,2015.38,2015.52,+0.14,2006.00,2006.00,89777,23543
EGP,seamless,2282,,2015.18,2015.29,+0.11,2006.00,2006.00,1294,297
EGP,seamlessly,925,,2017.06,2020.18,+3.13,2006.00,2018.65,440,78
EGP,seeks,28033,,2015.90,2017.17,+1.27,2006.00,2006.00,17940,3708
EGP,serves,14066,,2016.67,2016.89,+0.22,2006.00,2006.00,8149,1658
EGP,serving,35309,,2016.64,2017.10,+0.46,2006.00,2006.00,21398,4238
EGP,shaping,4285,2024,2018.46,2019.15,+0.69,2022.46,2023.25,1654,363
EGP,showcased,1122,,2017.90,2017.10,-0.80,2011.82,2008.46,431,151
EGP,showcases,810,2024,2017.29,2018.10,+0.81,2009.50,2011.53,265,120
EGP,showcasing,1580,2023,2018.84,2018.47,-0.37,2014.34,2016.26,497,212
EGP,spanning,1112,2024,2019.52,2017.35,-2.16,2018.45,2006.00,522,137
EGP,specifically,55979,,2015.86,2016.26,+0.40,2006.00,2006.00,32314,7505
EGP,stands,25406,,2016.04,2015.51,-0.53,2006.00,2006.00,14607,3742
EGP,statement,113260,,2015.37,2016.30,+0.93,2006.00,2006.00,72700,17769
EGP,stemming,822,,2017.36,2016.66,-0.70,2006.00,2006.00,510,100
EGP,strategically,2366,,2015.71,2014.08,-1.63,2006.00,2006.00,1267,398
EGP,strategies,14150,,2014.27,2014.21,-0.06,2006.00,2006.00,9191,2723
EGP,streamline,6194,,2015.62,2016.91,+1.29,2006.00,2006.07,2997,955
EGP,streamlined,4127,,2015.01,2015.95,+0.95,2006.00,2006.00,2112,643
EGP,streamlining,3946,,2015.16,2018.81,+3.65,2006.00,2021.82,1856,565
EGP,struggle,17746,,2016.81,2017.13,+0.33,2006.00,2006.89,8199,1958
EGP,subsequently,8749,,2013.76,2014.22,+0.45,2006.00,2006.00,7427,1933
EGP,substantial,24081,,2013.42,2013.13,-0.28,2006.00,2006.00,23577,4563
EGP,surged,899,2020,2022.56,2024.55,+1.99,2023.33,2024.34,339,65
EGP,surpassed,946,,2015.55,2016.56,+1.01,2006.00,2008.45,444,132
EGP,swift,6790,,2018.23,2015.62,-2.61,2007.05,2006.00,3310,868
EGP,swiftly,5897,2021,2019.23,2018.32,-0.90,2012.35,2011.21,3446,438
EGP,techniques,2815,,2011.79,2014.59,+2.80,2006.00,2006.00,2772,662
EGP,their,1838474,,2016.06,2016.25,+0.18,2006.00,2006.00,962489,274205
EGP,thereby,5756,,2012.76,2013.44,+0.68,2006.00,2006.00,5319,1277
EGP,these,876693,,2016.06,2016.08,+0.02,2006.00,2006.00,484468,140065
EGP,this,4925972,,2015.89,2015.57,-0.31,2006.00,2006.00,2703316,775744
EGP,thorough,7348,,2014.35,2015.51,+1.16,2006.00,2006.00,5357,1178
EGP,through,613402,,2016.10,2015.98,-0.13,2006.00,2006.00,326552,102426
EGP,transformative,4799,2018,2020.75,2020.58,-0.17,2018.65,2017.78,1548,163
EGP,typically,8297,,2016.77,2017.72,+0.95,2006.00,2006.00,4701,856
EGP,ultimately,40240,,2016.70,2017.31,+0.60,2006.00,2006.00,24034,5905
EGP,underscore,1323,,2018.02,2017.68,-0.34,2006.00,2014.65,783,90
EGP,underscores,1452,2023,2018.49,2022.84,+4.36,2008.95,2022.41,637,107
EGP,understanding,66983,,2015.34,2015.60,+0.26,2006.00,2006.00,38548,11938
EGP,unlocking,2618,2020,2021.69,2023.54,+1.84,2023.25,2024.25,908,219
EGP,unparalleled,1330,,2016.50,2016.97,+0.47,2006.00,2006.11,845,137
EGP,unveiled,1735,,2016.61,2017.04,+0.43,2006.00,2006.00,858,231
EGP,uphold,8645,2025,2018.64,2018.52,-0.12,2016.60,2013.45,4383,822
EGP,upholding,3589,2023,2018.41,2020.01,+1.61,2006.00,2017.72,1825,275
EGP,urging,5312,,2016.34,2014.84,-1.50,2006.00,2006.00,3276,578
EGP,using,78338,,2015.87,2015.84,-0.02,2006.00,2006.00,46304,12545
EGP,utilized,2204,,2013.42,2015.99,+2.57,2006.00,2006.00,1253,410
EGP,utilizing,1710,,2013.88,2018.07,+4.19,2006.00,2006.00,816,246
EGP,valuable,21694,,2014.21,2014.88,+0.66,2006.00,2006.00,13583,4224
EGP,various,49491,,2013.81,2014.04,+0.23,2006.00,2006.00,36609,10816
EGP,varying,2515,,2014.13,2014.87,+0.74,2006.00,2006.00,1783,582
EGP,were,921077,,2015.34,2015.34,+0.00,2006.00,2006.00,541039,167589
EGP,while,257510,,2016.58,2016.88,+0.30,2006.00,2006.00,131026,35348
EGP,within,215365,,2015.41,2015.21,-0.20,2006.00,2006.00,131967,40545
EGP,yielding,7786,,2017.13,2017.25,+0.12,2006.00,2006.00,6131,606
folk,achieving,14613,,2014.26,2014.27,+0.02,2006.00,2006.00,10441,1806
folk,acknowledges,8868,,2017.11,2016.60,-0.50,2006.00,2006.00,5034,872
folk,acknowledging,10547,,2017.90,2018.28,+0.38,2010.00,2023.47,5053,923
folk,across,485598,,2017.83,2018.54,+0.72,2009.87,2012.31,213308,45453
folk,additionally,9927,,2017.90,2019.83,+1.94,2006.00,2018.54,5297,923
folk,address,165582,,2015.98,2016.18,+0.20,2006.00,2006.00,97217,17822
folk,addresses,13253,,2015.15,2015.60,+0.44,2006.00,2006.00,9230,1530
folk,addressing,37023,,2016.25,2016.44,+0.19,2006.00,2006.00,20243,3760
folk,adhered,1563,,2014.13,2013.90,-0.23,2006.00,2006.00,1075,204
folk,adhering,1054,,2017.18,2018.92,+1.74,2006.00,2006.00,535,86
folk,advancement,3556,,2017.20,2018.76,+1.56,2006.00,2006.00,2308,320
folk,advancements,1829,2024,2017.82,2019.15,+1.32,2006.00,2016.48,759,117
folk,advancing,7140,2026,2017.92,2018.39,+0.47,2010.86,2015.29,3684,697
folk,advocates,13433,,2017.48,2017.67,+0.19,2006.00,2006.00,7430,1205
folk,advocating,12496,,2018.16,2017.62,-0.53,2011.93,2007.21,5383,1115
folk,affirming,2007,2020,2021.43,2021.98,+0.54,2017.65,2019.09,708,92
folk,aiding,844,,2017.20,2015.74,-1.45,2006.00,2006.00,580,84
folk,aims,15546,,2015.47,2016.84,+1.37,2006.00,2006.00,9009,1710
folk,akin,1684,,2015.60,2017.36,+1.76,2006.00,2006.08,1212,171
folk,align,9497,2022,2019.68,2020.39,+0.71,2016.51,2022.80,3365,548
folk,aligning,2236,2023,2018.99,2020.86,+1.86,2018.56,2023.77,813,157
folk,aligns,3795,2021,2021.50,2021.49,-0.01,2021.30,2023.52,1175,199
folk,alongside,35290,2022,2019.61,2020.75,+1.15,2018.17,2021.91,12881,2773
folk,amid,2034,2020,2019.87,2019.99,+0.12,2018.43,2017.73,860,147
folk,amidst,1072,2021,2019.31,2019.39,+0.08,2018.44,2007.38,549,92
folk,analysis,29064,,2014.42,2014.71,+0.30,2006.00,2006.00,20806,3510
folk,announced,82711,,2015.76,2016.44,+0.69,2006.00,2006.00,46066,8917
folk,approach,141870,,2015.41,2015.85,+0.44,2006.00,2006.00,87514,15001
folk,assess,15112,,2015.18,2015.10,-0.09,2006.00,2006.00,9922,1736
folk,assessed,11274,,2015.13,2013.00,-2.12,2006.00,2006.00,7544,1528
folk,assessing,6022,,2015.52,2014.12,-1.40,2006.00,2006.00,4039,645
folk,assessments,16814,,2016.17,2016.28,+0.12,2006.00,2006.00,8836,1628
folk,attributed,2621,,2015.12,2014.39,-0.73,2006.00,2006.00,1776,336
folk,avenue,8351,,2015.09,2014.47,-0.61,2006.00,2006.00,5528,1100
folk,avenues,3111,,2015.91,2015.86,-0.05,2006.00,2006.27,1656,389
folk,based,148850,,2015.39,2015.49,+0.10,2006.00,2006.00,95121,17123
folk,between,213413,,2014.63,2014.55,-0.08,2006.00,2006.00,151276,26509
folk,bolster,3181,2021,2019.23,2019.51,+0.28,2006.00,2006.00,1507,263
folk,bolstering,1075,2021,2020.39,2018.70,-1.69,2018.40,2006.00,430,66
folk,both,235749,,2015.46,2015.32,-0.14,2006.00,2006.00,152655,26092
folk,broader,30092,,2016.94,2015.88,-1.07,2007.19,2011.11,17407,2668
folk,capabilities,10173,2025,2018.90,2014.74,-4.16,2018.36,2006.00,5664,727
folk,challenge,68833,,2015.89,2015.23,-0.66,2006.00,2006.00,41192,7120
folk,challenges,112636,,2017.29,2017.99,+0.70,2006.00,2007.14,50224,9980
folk,combating,2857,,2016.91,2016.46,-0.44,2006.00,2006.00,1925,287
