blind_id,sid,group,justification,common_good,respect_groups,respect_demands,respect_counterargs,constructive,evidence,ai_guess
S166,2019-11-27#t230w2,ctl2019,2,2,2,-1,-1,0,2,40
S167,2019-12-12#t382w0,ctl2019,1,1,1,0,1,2,1,5
S168,2025-12-11#t1822w0,B_human,2,2,1,1,1,0,2,10
S169,2026-05-07#t2871w3,cand_ai,3,2,1,1,3,0,2,55
S170,2023-12-06#t15084w2,cand_ai,2,2,1,0,-1,0,1,75
S171,2025-11-20#t1192w1,cand_human,2,1,1,1,-1,0,1,8
S172,2026-05-13#t3084w0,B_human,2,1,1,1,2,0,2,5
S173,2019-11-27#t161w0,ctl2019,2,1,1,0,1,0,1,3
S174,2025-12-10#t1743w0,cand_ai,1,1,1,0,-1,0,2,50
S175,2024-05-16#t16835w6,cand_human,2,2,2,0,1,1,3,55
S176,2025-10-30#t495w1,B_human,2,2,2,2,3,0,3,3
S177,2025-11-05#t660w0,B_human,2,2,1,2,2,0,2,5
S178,2026-05-13#t3072w1,B_ai,3,1,1,2,3,0,3,65
S179,2025-12-12#t2026w1,cand_human,0,2,2,-1,-1,0,0,3
S180,2026-03-24#t2321w2,cand_human,2,2,1,0,2,0,1,3
S181,2026-03-26#t2554w4,B_human,2,2,1,1,2,2,2,8
S182,2025-12-09#t1645w0,B_human,2,1,1,0,-1,0,1,3
S183,2019-11-27#t185w0,cand_human,1,0,1,2,-1,0,1,3
S184,2025-10-30#t482w0,cand_human,1,1,1,2,-1,1,1,3
S185,2025-12-11#t1816w0,B_human,3,1,1,0,1,0,3,8
S186,2025-11-06#t790w0,B_human,1,2,1,2,-1,0,1,5
S187,2019-11-27#t238w4,ctl2019,3,2,1,2,-1,1,3,8
S188,2025-12-09#t1625w0,cand_ai,0,1,1,-1,-1,0,2,30
S189,2026-03-24#t2307w2,cand_human,3,2,1,-1,3,0,1,15
S190,2025-12-11#t1803w0,cand_ai,0,1,1,-1,-1,0,3,30
S191,2023-11-30#t14720w2,cand_ai,3,2,2,-1,2,0,1,25
S192,2019-05-10#t82w0,ctl2019,1,1,1,0,1,0,2,8
S193,2026-05-06#t2648w0,cand_human,0,2,2,-1,-1,0,2,40
S194,2023-03-30#t11384w1,cand_human,3,2,1,0,1,0,1,5
S195,2026-03-24#t2305w3,cand_ai,3,2,1,-1,2,0,2,40
S196,2023-12-05#t14931w4,cand_ai,2,2,2,0,1,0,3,50
S197,2025-11-05#t646w0,B_human,2,1,1,0,1,0,3,8
S198,2025-10-30#t515w1,B_human,2,2,2,0,-1,0,3,15
S199,2025-10-24#t178w1,cand_ai,3,2,2,-1,2,0,2,45
S200,2026-05-07#t2771w0,B_human,2,0,1,0,1,2,2,10
S201,2025-11-06#t803w1,cand_ai,1,1,2,-1,-1,0,1,80
S202,2019-12-12#t385w3,ctl2019,2,2,1,2,2,2,1,10
S203,2025-11-20#t1098w0,cand_human,1,1,2,-1,-1,0,3,35
S204,2026-03-18#t2051w0,B_human,1,1,2,-1,-1,0,3,10
S205,2023-12-01#t14834w1,cand_human,2,2,2,0,-1,0,1,5
S206,2023-05-11#t11745w0,cand_ai,2,2,2,-1,-1,0,2,65
S207,2026-05-06#t2693w0,B_human,2,2,1,0,1,0,3,10
S208,2025-10-28#t280w1,B_human,1,0,1,-1,-1,0,1,5
S209,2025-12-05#t1565w0,cand_human,1,1,2,-1,-1,0,3,15
S210,2024-05-07#t16123w0,cand_ai,2,1,2,-1,-1,0,3,55
S211,2019-12-12#t327w0,ctl2019,0,1,2,-1,-1,0,3,10
S212,2026-05-13#t2998w0,cand_ai,2,1,2,-1,-1,0,3,35
S213,2019-11-27#t145w0,ctl2019,2,1,1,0,1,0,2,15
S214,2025-10-30#t534w3,B_ai,3,2,1,0,1,0,3,25
S215,2025-10-28#t262w0,cand_human,2,1,1,-1,-1,0,3,25
S216,2025-12-03#t1388w0,cand_human,2,1,2,-1,-1,0,3,25
S217,2026-05-06#t2742w1,B_ai,3,0,1,0,2,1,2,40
S218,2025-11-05#t632w0,cand_ai,2,2,2,-1,-1,0,1,50
S219,2019-11-27#t256w0,cand_human,1,0,1,2,-1,0,2,5
S220,2025-10-24#t189w4,B_human,1,1,1,0,1,0,1,10
S221,2025-10-30#t427w0,cand_ai,0,1,1,-1,-1,0,3,25
S222,2024-06-06#t17660w1,cand_ai,2,2,1,-1,-1,0,1,40
S223,2026-03-25#t2350w0,cand_ai,2,1,2,-1,-1,0,3,30
S224,2019-11-27#t217w0,ctl2019,2,1,1,2,-1,0,2,10
S225,2026-03-20#t2162w0,B_human,2,1,1,0,0,0,2,15
S226,2025-10-22#t22w0,cand_human,2,1,1,-1,-1,0,3,20
S227,2025-10-30#t430w0,cand_ai,0,1,2,-1,-1,0,1,35
S228,2026-03-20#t2229w0,cand_human,2,2,1,2,-1,0,0,30
S229,2019-12-12#t398w0,ctl2019,2,1,1,2,2,2,3,3
S230,2025-11-07#t914w0,B_human,2,2,1,2,-1,1,2,5
S231,2025-10-22#t32w0,B_human,2,2,2,0,-1,0,1,5
S232,2023-05-11#t11774w0,cand_ai,3,2,1,-1,-1,0,2,80
S233,2019-12-12#t385w7,ctl2019,1,2,1,2,3,2,1,5
S234,2026-03-25#t2368w0,B_human,2,1,1,1,2,0,3,5
S235,2026-03-25#t2431w0,B_human,1,1,1,0,-1,0,1,3
S236,2019-11-27#t137w0,ctl2019,2,2,1,2,-1,0,3,10
S237,2026-05-14#t3166w1,B_human,3,0,1,-1,3,0,2,40
S238,2025-11-06#t792w0,cand_human,0,1,2,-1,-1,0,3,5
S239,2026-03-20#t2229w1,B_human,1,2,2,-1,-1,0,0,25
S240,2025-12-05#t1574w0,cand_human,2,0,2,-1,-1,0,3,40
