seg_id,stratum,date,speaker,n_words,prediction,fraction_ai,fraction_ai_assisted
2019-11-27#t256w0,A-consensus-ctl,2019-11-27,Mr. K. Chiasson,178,Human,0.0,0.0
2026-05-05#t2582w0,B-decile-0,2026-05-05,Mr. Mallet,115,Human,0.0,0.0
2026-03-24#t2246w0,B-decile-0,2026-03-24,Hon. Ms. Miles,241,Human,0.0,0.0
2025-11-07#t915w0,B-decile-0,2025-11-07,Hon. Ms. Holt,290,Human,0.0,0.0
2025-10-28#t288w5,B-decile-0,2025-10-28,Ms. Conroy,124,Human,0.0,0.0
2026-05-07#t2862w0,B-decile-0,2026-05-07,Mr. M. LeBlanc,67,Human,0.0,0.0
2025-10-28#t197w0,B-decile-0,2025-10-28,Hon. Mr. Finnigan,142,Human,0.0,0.0
2025-11-07#t896w0,B-decile-0,2025-11-07,Mr. Savoie,206,Human,0.0,0.0
2026-03-26#t2519w0,B-decile-0,2026-03-26,Mr. M. LeBlanc,74,Human,0.0,0.0
2025-11-06#t756w0,B-decile-0,2025-11-06,Hon. Mr. Hickey,92,Human,0.0,0.0
2025-10-22#t81w0,B-decile-0,2025-10-22,Mr. Savoie,291,Human,0.0,0.0
2026-05-06#t2699w0,B-decile-0,2026-05-06,Hon. Mr. D’Amours,130,Mixed,0.0,1.0
2026-03-25#t2368w0,B-decile-0,2026-03-25,Hon. Mr. Dornan,104,Human,0.0,0.0
2025-12-09#t1701w0,B-decile-1,2025-12-09,Hon. Mr. Legacy,79,Human,0.0,0.0
2025-11-05#t646w0,B-decile-1,2025-11-05,Mr. Savoie,180,Human,0.0,0.0
2026-05-08#t2976w0,B-decile-1,2026-05-08,Mr. Hogan,263,Human,0.0,0.0
2025-10-29#t371w0,B-decile-1,2025-10-29,Hon. Mr. D’Amours,199,Human,0.0,0.0
2025-12-11#t1817w0,B-decile-1,2025-12-11,Mr. Savoie,205,Human,0.0,0.0
2026-05-08#t2891w0,B-decile-1,2026-05-08,Ms. M. Johnson,226,Human,0.0,0.0
2026-03-18#t2051w0,B-decile-1,2026-03-18,Mr. Coon,160,Human,0.0,0.0
2025-10-22#t102w16,B-decile-1,2025-10-22,Mr. M. LeBlanc,311,Human,0.0,0.0
2026-03-18#t2135w12,B-decile-1,2026-03-18,Mr. M. LeBlanc,344,AI,1.0,0.0
2025-12-11#t1816w0,B-decile-1,2025-12-11,Mr. Austin,217,Human,0.0,0.0
2025-10-22#t48w0,B-decile-1,2025-10-22,Mr. Savoie,169,Human,0.0,0.0
2025-10-22#t32w0,B-decile-1,2025-10-22,Mr. Savoie,162,Human,0.0,0.0
2025-11-21#t1271w0,B-decile-2,2025-11-21,Mr. Austin,188,Human,0.0,0.0
2025-11-06#t836w0,B-decile-2,2025-11-06,,355,Human,0.0,0.0
2026-03-24#t2323w3,B-decile-2,2026-03-24,Ms. Wilcott,330,Human,0.0,0.0
2025-12-03#t1430w0,B-decile-2,2025-12-03,Ms. Mitton,147,Human,0.0,0.0
2025-12-09#t1692w1,B-decile-2,2025-12-09,Mr. M. LeBlanc,349,Human,0.0,0.0
2025-10-29#t325w0,B-decile-2,2025-10-29,Mr. Cullins,156,Human,0.0,0.0
2025-10-24#t189w4,B-decile-2,2025-10-24,Hon. Mr. Hickey,236,Human,0.0,0.0
2025-10-29#t327w0,B-decile-2,2025-10-29,Ms. S. Wilson,142,Human,0.0,0.0
2025-10-30#t495w1,B-decile-2,2025-10-30,Mr. Weir,339,Human,0.0,0.0
2025-11-04#t565w0,B-decile-2,2025-11-04,Mr. Savoie,56,Human,0.0,0.0
2025-10-29#t397w2,B-decile-2,2025-10-29,Mr. J. LeBlanc,305,Human,0.0,0.0
2026-03-20#t2201w0,B-decile-2,2026-03-20,Hon. Ms. Miles,170,AI,1.0,0.0
2025-12-05#t1622w0,B-decile-3,2025-12-05,Mr. M. LeBlanc,337,Human,0.0,0.0
2026-03-24#t2318w3,B-decile-3,2026-03-24,Mr. Austin,291,Human,0.0,0.0
2026-03-25#t2453w3,B-decile-3,2026-03-25,Ms. Conroy,246,Human,0.0,0.0
2026-05-14#t3171w0,B-decile-3,2026-05-14,Ms. M. Wilson,233,Human,0.0,0.0
2026-03-24#t2318w10,B-decile-3,2026-03-24,Mr. Austin,181,Human,0.0,0.0
2026-03-25#t2346w0,B-decile-3,2026-03-25,Mr. Mallet,288,AI,1.0,0.0
2025-10-21#t4w1,B-decile-3,2025-10-21,,300,Human,0.0,0.0
2025-12-04#t1509w0,B-decile-3,2025-12-04,Hon. Mr. Gauvin,169,Human,0.0,0.0
2026-03-26#t2472w0,B-decile-3,2026-03-26,Ms. Mitton,175,Human,0.0,0.0
2026-03-24#t2322w9,B-decile-3,2026-03-24,Ms. Mitton,338,Human,0.0,0.0
2025-12-11#t1822w0,B-decile-3,2025-12-11,Hon. Mr. McKee,201,Human,0.0,0.0
2025-10-30#t515w1,B-decile-3,2025-10-30,Ms. Wilcott,333,Human,0.0,0.0
2026-05-14#t3170w0,B-decile-4,2026-05-14,Mr. Bourque,156,Human,0.0,0.0
2026-03-24#t2322w8,B-decile-4,2026-03-24,Ms. Mitton,317,Human,0.0,0.0
2026-05-14#t3166w1,B-decile-4,2026-05-14,Mr. M. LeBlanc,360,Human,0.0,0.0
2026-05-07#t2790w0,B-decile-4,2026-05-07,Mr. Savoie,182,Human,0.0,0.0
2026-03-25#t2431w0,B-decile-4,2026-03-25,Mr. Hogan,207,Human,0.0,0.0
2025-12-02#t1317w0,B-decile-4,2025-12-02,Hon. Ms. Holt,151,Human,0.0,0.0
2025-10-30#t534w3,B-decile-4,2025-10-30,Ms. S. Wilson,338,AI,1.0,0.0
2025-12-02#t1316w0,B-decile-4,2025-12-02,Mr. Austin,327,Human,0.0,0.0
2025-10-22#t100w0,B-decile-4,2025-10-22,Madam Speaker,186,Human,0.0,0.0
2026-05-07#t2771w0,B-decile-4,2026-05-07,Ms. S. Wilson,154,Human,0.0,0.0
2026-05-13#t3084w0,B-decile-4,2026-05-13,Mr. Monahan,336,Human,0.0,0.0
2025-10-28#t280w1,B-decile-4,2025-10-28,Mr. Lee,160,Human,0.0,0.0
2026-03-25#t2449w0,B-decile-5,2026-03-25,Ms. Conroy,307,Human,0.0,0.0
2026-03-24#t2320w1,B-decile-5,2026-03-24,Mr. Austin,215,Human,0.0,0.0
2026-03-20#t2229w1,B-decile-5,2026-03-20,Hon. Ms. Miles,154,Human,0.0,0.0
2025-11-06#t766w0,B-decile-5,2025-11-06,Hon. C. Johnson,136,Human,0.0,0.0
2025-12-09#t1645w0,B-decile-5,2025-12-09,Mr. Savoie,155,Human,0.0,0.0
2026-05-07#t2847w1,B-decile-5,2026-05-07,Mr. Coon,297,Human,0.0,0.0
2025-11-06#t790w0,B-decile-5,2025-11-06,Mr. Coon,179,Human,0.0,0.0
2025-10-24#t175w2,B-decile-5,2025-10-24,Mr. Coon,335,Human,0.0,0.0
2026-03-25#t2403w0,B-decile-5,2026-03-25,Hon. Mr. D’Amours,116,Human,0.0,0.0
2025-10-24#t150w0,B-decile-5,2025-10-24,Hon. C. Johnson,108,Human,0.0,0.0
2026-03-17#t2033w0,B-decile-5,2026-03-17,,348,Human,0.0,0.0
2025-11-18#t1014w2,B-decile-5,2025-11-18,Mr. Austin,198,Human,0.0,0.0
2025-12-11#t1904w0,B-decile-6,2025-12-11,Mr. Savoie,92,Human,0.0,0.0
2025-10-29#t377w1,B-decile-6,2025-10-29,Madam Speaker,343,Human,0.0,0.0
2025-11-05#t615w0,B-decile-6,2025-11-05,Hon. Mr. Gauvin,281,Human,0.0,0.0
2025-10-21#t2w6,B-decile-6,2025-10-21,Her Honour,358,Human,0.0,0.0
2025-12-02#t1369w3,B-decile-6,2025-12-02,Hon. Mr. Legacy,355,Human,0.0,0.0
2025-11-21#t1269w0,B-decile-6,2025-11-21,Mr. Austin,142,Human,0.0,0.0
2025-10-29#t359w0,B-decile-6,2025-10-29,Hon. Mr. LePage,132,Human,0.0,0.0
2026-05-13#t3056w0,B-decile-6,2026-05-13,Mr. Savoie,79,Human,0.0,0.0
2026-03-26#t2554w4,B-decile-6,2026-03-26,Mr. Coon,252,Human,0.0,0.0
2026-05-06#t2742w1,B-decile-6,2026-05-06,Mr. Monahan,318,AI,1.0,0.0
2026-03-25#t2363w0,B-decile-6,2026-03-25,Mr. Hogan,128,Human,0.0,0.0
2026-03-24#t2311w0,B-decile-6,2026-03-24,Mr. Weir,321,Human,0.0,0.0
2026-05-06#t2700w0,B-decile-7,2026-05-06,Ms. M. Wilson,174,Human,0.0,0.0
2025-11-05#t660w0,B-decile-7,2025-11-05,Ms. Mitton,167,Human,0.0,0.0
2025-11-20#t1215w1,B-decile-7,2025-11-20,Mr. Weir,130,Human,0.0,0.0
2025-12-11#t1802w0,B-decile-7,2025-12-11,Ms. Wilcott,147,Human,0.0,0.0
2026-05-13#t3072w1,B-decile-7,2026-05-13,Mr. Ames,351,AI,1.0,0.0
2025-11-07#t914w0,B-decile-7,2025-11-07,Mr. Coon,355,Human,0.0,0.0
2026-03-25#t2412w0,B-decile-7,2026-03-25,Mr. Coon,359,Human,0.0,0.0
2025-12-10#t1767w0,B-decile-7,2025-12-10,Ms. Mitton,123,Human,0.0,0.0
2025-11-21#t1276w0,B-decile-7,2025-11-21,Hon. Ms. Holt,164,Human,0.0,0.0
2025-12-09#t1640w0,B-decile-7,2025-12-09,Mr. Oliver,112,Human,0.0,0.0
2026-03-24#t2329w0,B-decile-7,2026-03-24,Mr. M. LeBlanc,68,Human,0.0,0.0
2025-12-11#t1806w0,B-decile-7,2025-12-11,Ms. Mitton,163,Human,0.0,0.0
2026-03-18#t2064w0,B-decile-8,2026-03-18,Mr. Cullins,131,Human,0.0,0.0
2026-03-20#t2162w0,B-decile-8,2026-03-20,Mr. Hogan,142,Human,0.0,0.0
2026-03-25#t2389w0,B-decile-8,2026-03-25,Hon. Ms. Holt,193,Human,0.0,0.0
2026-05-05#t2605w0,B-decile-8,2026-05-05,Hon. Mr. Randall,155,Human,0.0,0.0
2026-05-05#t2615w0,B-decile-8,2026-05-05,Hon. Mr. Dornan,183,Human,0.0,0.0
2026-03-18#t2047w1,B-decile-8,2026-03-18,Hon. Mr. Dornan,129,Human,0.0,0.0
2025-12-02#t1342w0,B-decile-8,2025-12-02,Mr. Coon,147,Human,0.0,0.0
2026-05-07#t2832w1,B-decile-8,2026-05-07,Hon. Mr. Dornan,304,Human,0.0,0.0
2025-10-29#t352w0,B-decile-8,2025-10-29,Mr. Ames,61,Human,0.0,0.0
2025-12-11#t1804w0,B-decile-8,2025-12-11,Mr. Mallet,114,Human,0.0,0.0
2026-05-13#t3076w2,B-decile-8,2026-05-13,Mr. Ames,352,AI,1.0,0.0
2025-11-18#t1002w0,B-decile-8,2025-11-18,Mr. Coon,353,Human,0.0,0.0
2025-11-05#t690w1,B-decile-9,2025-11-05,Ms. Bockus,302,AI,1.0,0.0
2026-05-13#t3087w1,B-decile-9,2026-05-13,Mr. Weir,92,Human,0.0,0.0
2026-05-06#t2693w0,B-decile-9,2026-05-06,Ms. Mitton,164,Human,0.0,0.0
2025-11-21#t1255w0,B-decile-9,2025-11-21,Mr. Savoie,80,Human,0.0,0.0
2025-12-09#t1702w0,B-decile-9,2025-12-09,Mr. Monahan,96,Human,0.0,0.0
2026-03-18#t2107w0,B-decile-9,2026-03-18,Ms. Mitton,156,Human,0.0,0.0
2025-12-04#t1473w0,B-decile-9,2025-12-04,Mr. Doucet,153,Human,0.0,0.0
2026-05-06#t2666w0,B-decile-9,2026-05-06,Hon. Mr. Randall,121,Human,0.0,0.0
2025-12-09#t1639w0,B-decile-9,2025-12-09,Mr. Robichaud,138,AI,1.0,0.0
2025-12-11#t1848w0,B-decile-9,2025-12-11,Hon. Mr. Dornan,143,Human,0.0,0.0
2026-05-05#t2616w0,B-decile-9,2026-05-05,Mr. Hogan,113,Human,0.0,0.0
2025-10-24#t139w0,B-decile-9,2025-10-24,Mr. Austin,132,Human,0.0,0.0
2019-11-27#t145w0,C-control-2019,2019-11-27,Mr. Savoie,137,Human,0.0,0.0
2019-05-10#t25w0,C-control-2019,2019-05-10,Hon. Mr. Gauvin,141,Human,0.0,0.0
2019-12-12#t368w0,C-control-2019,2019-12-12,Mr. LePage,107,Human,0.0,0.0
2019-12-12#t348w0,C-control-2019,2019-12-12,,299,Human,0.0,0.0
2019-11-27#t232w4,C-control-2019,2019-11-27,Mr. C. Chiasson,347,Human,0.0,0.0
2019-11-27#t138w0,C-control-2019,2019-11-27,Mr. Austin,172,Human,0.0,0.0
2019-11-27#t261w5,C-control-2019,2019-11-27,Hon. Mr. Cardy,324,Human,0.0,0.0
2019-12-12#t294w0,C-control-2019,2019-12-12,Hon. Mrs. Shephard,159,Human,0.0,0.0
2019-11-27#t267w8,C-control-2019,2019-11-27,Mr. Horsman,349,Human,0.0,0.0
2019-12-12#t291w0,C-control-2019,2019-12-12,Mr. D. Landry,135,Human,0.0,0.0
2019-11-27#t238w11,C-control-2019,2019-11-27,Ms. Mitton,359,Human,0.0,0.0
2019-03-29#t9w3,C-control-2019,2019-03-29,,292,Human,0.0,0.0
2019-11-27#t253w3,C-control-2019,2019-11-27,Mr. K. Chiasson,309,Human,0.0,0.0
2019-03-29#t9w8,C-control-2019,2019-03-29,,328,Human,0.0,0.0
2019-12-12#t354w0,C-control-2019,2019-12-12,,305,Human,0.0,0.0
2019-11-27#t203w0,C-control-2019,2019-11-27,,352,Human,0.0,0.0
2019-12-12#t305w0,C-control-2019,2019-12-12,Mr. LePage,132,Human,0.0,0.0
2019-12-12#t314w0,C-control-2019,2019-12-12,Mr. Austin,58,Human,0.0,0.0
2019-12-12#t385w7,C-control-2019,2019-12-12,Hon. Mr. Holland,303,Human,0.0,0.0
2019-12-12#t406w1,C-control-2019,2019-12-12,Ms. Rogers,328,Human,0.0,0.0
2019-11-27#t222w0,C-control-2019,2019-11-27,,304,Human,0.0,0.0
2019-12-12#t302w0,C-control-2019,2019-12-12,Hon. Mrs. Shephard,103,Human,0.0,0.0
2019-11-27#t252w3,C-control-2019,2019-11-27,Mr. K. Chiasson,51,Human,0.0,0.0
2019-11-27#t160w0,C-control-2019,2019-11-27,Mr. LePage,132,Human,0.0,0.0
2019-12-12#t362w3,C-control-2019,2019-12-12,,358,Human,0.0,0.0
2019-11-27#t230w2,C-control-2019,2019-11-27,Mr. Austin,241,Human,0.0,0.0
2019-12-12#t382w0,C-control-2019,2019-12-12,Mr. Austin,135,Human,0.0,0.0
2019-12-12#t330w0,C-control-2019,2019-12-12,Mr. K. Arseneau,165,Human,0.0,0.0
2019-11-27#t155w0,C-control-2019,2019-11-27,Hon. Mr. Holder,208,Human,0.0,0.0
2019-11-27#t140w0,C-control-2019,2019-11-27,Mr. Harvey,159,Human,0.0,0.0
2019-12-12#t371w0,C-control-2019,2019-12-12,Mr. McKee,239,Human,0.0,0.0
2019-11-27#t238w4,C-control-2019,2019-11-27,Ms. Mitton,263,Human,0.0,0.0
2019-11-19#t116w13,C-control-2019,2019-11-19,,281,Human,0.0,0.0
2019-11-27#t252w0,C-control-2019,2019-11-27,Mr. K. Chiasson,344,Human,0.0,0.0
2019-05-10#t82w0,C-control-2019,2019-05-10,Hon. Mr. Higgs,170,Human,0.0,0.0
2019-11-27#t165w0,C-control-2019,2019-11-27,Hon. Mr. Holland,182,Human,0.0,0.0
2019-11-27#t161w0,C-control-2019,2019-11-27,Hon. Mr. Higgs,249,Human,0.0,0.0
2019-11-19#t116w4,C-control-2019,2019-11-19,,354,Human,0.0,0.0
2019-12-12#t361w1,C-control-2019,2019-12-12,Ms. Mitton,352,Human,0.0,0.0
2019-11-27#t217w0,C-control-2019,2019-11-27,Mr. McKee,133,Human,0.0,0.0
2019-12-12#t400w0,C-control-2019,2019-12-12,Hon. Mr. Carr,321,Human,0.0,0.0
2019-11-27#t221w0,C-control-2019,2019-11-27,Mr. Coon,92,Human,0.0,0.0
2019-12-12#t398w0,C-control-2019,2019-12-12,Hon. Mr. Carr,235,Human,0.0,0.0
2019-05-10#t81w0,C-control-2019,2019-05-10,Mr. Horsman,178,Human,0.0,0.0
2019-05-10#t108w0,C-control-2019,2019-05-10,,359,Human,0.0,0.0
2019-12-12#t385w3,C-control-2019,2019-12-12,Hon. Mr. Holland,343,Human,0.0,0.0
2019-11-27#t223w1,C-control-2019,2019-11-27,M. D’Amours,189,Human,0.0,0.0
2019-11-27#t261w8,C-control-2019,2019-11-27,Hon. Mr. Cardy,266,Human,0.0,0.0
2019-11-27#t187w0,C-control-2019,2019-11-27,Mr. Crossman,107,Human,0.0,0.0
2019-11-19#t116w0,C-control-2019,2019-11-19,,331,Human,0.0,0.0
2019-11-27#t240w0,C-control-2019,2019-11-27,Mr. G. Arseneault,77,Human,0.0,0.0
2019-11-27#t230w9,C-control-2019,2019-11-27,Mr. Austin,349,Human,0.0,0.0
2019-12-12#t318w0,C-control-2019,2019-12-12,Mrs. F. Landry,123,Human,0.0,0.0
2019-12-12#t398w4,C-control-2019,2019-12-12,Hon. Mr. Carr,234,Human,0.0,0.0
2019-11-27#t257w0,C-control-2019,2019-11-27,Mr. K. Chiasson,76,Human,0.0,0.0
2019-12-12#t349w0,C-control-2019,2019-12-12,Mr. K. Chiasson,352,Human,0.0,0.0
2019-11-27#t137w0,C-control-2019,2019-11-27,Mr. Coon,147,Human,0.0,0.0
2019-12-12#t327w0,C-control-2019,2019-12-12,Mr. Savoie,168,Human,0.0,0.0
2019-11-27#t261w4,C-control-2019,2019-11-27,Hon. Mr. Cardy,350,Human,0.0,0.0
2019-12-12#t300w0,C-control-2019,2019-12-12,Hon. Mrs. Shephard,171,Human,0.0,0.0
SE#members_statement:Bill 23 and the integrity of:0,D-synthetic-se,synthetic-2026,SYNTHETIC,175,AI,1.0,0.0
SE#qp_question:Bill 23 and the integrity of:0,D-synthetic-se,synthetic-2026,SYNTHETIC,138,AI,1.0,0.0
SE#ministers_statement:Bill 23 and the integrity of:0,D-synthetic-se,synthetic-2026,SYNTHETIC,229,AI,1.0,0.0
SE#debate_response:Bill 23 and the integrity of:0,D-synthetic-se,synthetic-2026,SYNTHETIC,182,AI,1.0,0.0
SE#members_statement:the 2026-27 capital budget o:0,D-synthetic-se,synthetic-2026,SYNTHETIC,193,AI,1.0,0.0
SE#qp_question:the 2026-27 capital budget o:0,D-synthetic-se,synthetic-2026,SYNTHETIC,118,AI,1.0,0.0
SE#ministers_statement:the 2026-27 capital budget o:0,D-synthetic-se,synthetic-2026,SYNTHETIC,236,AI,1.0,0.0
SE#debate_response:the 2026-27 capital budget o:0,D-synthetic-se,synthetic-2026,SYNTHETIC,165,AI,1.0,0.0
SE#members_statement:the Nursing Home Without Wal:0,D-synthetic-se,synthetic-2026,SYNTHETIC,181,AI,1.0,0.0
SE#qp_question:the Nursing Home Without Wal:0,D-synthetic-se,synthetic-2026,SYNTHETIC,96,AI,1.0,0.0
SE#ministers_statement:the Nursing Home Without Wal:0,D-synthetic-se,synthetic-2026,SYNTHETIC,228,AI,1.0,0.0
SE#debate_response:the Nursing Home Without Wal:0,D-synthetic-se,synthetic-2026,SYNTHETIC,155,AI,1.0,0.0
SE#members_statement:addiction treatment and ment:0,D-synthetic-se,synthetic-2026,SYNTHETIC,195,AI,1.0,0.0
SE#qp_question:addiction treatment and ment:0,D-synthetic-se,synthetic-2026,SYNTHETIC,82,AI,1.0,0.0
SE#ministers_statement:addiction treatment and ment:0,D-synthetic-se,synthetic-2026,SYNTHETIC,210,AI,1.0,0.0
SE#debate_response:addiction treatment and ment:0,D-synthetic-se,synthetic-2026,SYNTHETIC,200,AI,1.0,0.0
SE#members_statement:the property assessment free:0,D-synthetic-se,synthetic-2026,SYNTHETIC,171,AI,1.0,0.0
SE#qp_question:the property assessment free:0,D-synthetic-se,synthetic-2026,SYNTHETIC,105,AI,1.0,0.0
SE#ministers_statement:the property assessment free:0,D-synthetic-se,synthetic-2026,SYNTHETIC,196,AI,1.0,0.0
SE#debate_response:the property assessment free:0,D-synthetic-se,synthetic-2026,SYNTHETIC,202,AI,1.0,0.0
SE#members_statement:school bus breakdowns and st:0,D-synthetic-se,synthetic-2026,SYNTHETIC,148,AI,1.0,0.0
SE#qp_question:school bus breakdowns and st:0,D-synthetic-se,synthetic-2026,SYNTHETIC,111,AI,1.0,0.0
SE#ministers_statement:school bus breakdowns and st:0,D-synthetic-se,synthetic-2026,SYNTHETIC,239,AI,1.0,0.0
SE#debate_response:school bus breakdowns and st:0,D-synthetic-se,synthetic-2026,SYNTHETIC,173,AI,1.0,0.0
SE#members_statement:the Mactaquac dam refurbishm:0,D-synthetic-se,synthetic-2026,SYNTHETIC,185,AI,1.0,0.0
SE#qp_question:the Mactaquac dam refurbishm:0,D-synthetic-se,synthetic-2026,SYNTHETIC,102,AI,1.0,0.0
SE#ministers_statement:the Mactaquac dam refurbishm:0,D-synthetic-se,synthetic-2026,SYNTHETIC,229,AI,1.0,0.0
SE#debate_response:the Mactaquac dam refurbishm:0,D-synthetic-se,synthetic-2026,SYNTHETIC,201,AI,1.0,0.0
SE#members_statement:thanking firefighters after :0,D-synthetic-se,synthetic-2026,SYNTHETIC,191,AI,1.0,0.0
SE#qp_question:thanking firefighters after :0,D-synthetic-se,synthetic-2026,SYNTHETIC,102,AI,1.0,0.0
SE#ministers_statement:thanking firefighters after :0,D-synthetic-se,synthetic-2026,SYNTHETIC,230,AI,1.0,0.0
SE#debate_response:thanking firefighters after :0,D-synthetic-se,synthetic-2026,SYNTHETIC,173,AI,1.0,0.0
SE#members_statement:Diwali celebrations in New B:0,D-synthetic-se,synthetic-2026,SYNTHETIC,187,AI,1.0,0.0
SE#qp_question:Diwali celebrations in New B:0,D-synthetic-se,synthetic-2026,SYNTHETIC,85,AI,1.0,0.0
SE#ministers_statement:Diwali celebrations in New B:0,D-synthetic-se,synthetic-2026,SYNTHETIC,194,AI,1.0,0.0
SE#debate_response:Diwali celebrations in New B:0,D-synthetic-se,synthetic-2026,SYNTHETIC,159,AI,1.0,0.0
SE#members_statement:National Police Week and com:0,D-synthetic-se,synthetic-2026,SYNTHETIC,169,AI,1.0,0.0
SE#qp_question:National Police Week and com:0,D-synthetic-se,synthetic-2026,SYNTHETIC,77,AI,1.0,0.0
SE#ministers_statement:National Police Week and com:0,D-synthetic-se,synthetic-2026,SYNTHETIC,213,AI,1.0,0.0
SE#debate_response:National Police Week and com:0,D-synthetic-se,synthetic-2026,SYNTHETIC,212,AI,1.0,0.0
2025-11-06#t803w1,A2-fastdetect-tail,2025-11-06,Mr. Oliver,332,AI,1.0,0.0
2026-03-18#t2043w0,A2-fastdetect-tail,2026-03-18,Mr. J. LeBlanc,315,AI,1.0,0.0
2025-11-18#t1017w3,A2-fastdetect-tail,2025-11-18,Mr. Ames,211,AI,1.0,0.0
2025-12-03#t1441w0,A2-fastdetect-tail,2025-12-03,Mr. Russell,215,AI,1.0,0.0
2025-10-29#t305w0,A2-fastdetect-tail,2025-10-29,Ms. M. Johnson,222,AI,1.0,0.0
2025-10-24#t178w1,A2-fastdetect-tail,2025-10-24,Ms. Mitton,329,AI,1.0,0.0
