chamber,year,n_pool,n_sampled,words_per_sentence,contractions_per_1k
NL,2018,8307,400,17.94,27.05
NL,2019,5919,400,18.81,27.29
NL,2025,4056,400,19.88,29.86
NL,2026,4760,400,19.37,30.02
NS,2006,4630,400,24.01,14.71
NS,2007,4877,400,24.26,12.57
NS,2008,5268,400,24.17,14.94
NS,2009,4150,400,24.9,15.98
NS,2010,7533,400,25.45,15.23
NS,2015,7644,400,19.89,18.56
NS,2016,6146,400,20.02,17.96
NS,2017,5036,400,20.68,17.84
NS,2018,6878,400,20.63,17.37
NS,2019,5961,400,19.73,16.17
NS,2025,3755,400,20.51,20.48
NS,2026,4217,400,20.98,22.66
NSW,2006,18025,400,22.39,4.01
NSW,2007,13634,400,21.75,3.86
NSW,2008,18686,400,24.02,4.27
NSW,2009,20250,400,22.85,3.93
NSW,2010,20742,400,22.84,3.64
NSW,2015,15479,400,21.75,3.81
NSW,2016,18269,400,21.81,4.21
NSW,2017,18405,400,21.32,3.25
NSW,2018,20573,400,21.58,3.85
NSW,2019,15877,400,21.89,3.8
NSW,2025,23942,400,23.53,3.83
NSW,2026,13153,400,21.99,4.02
ON,2006,17835,400,23.24,20.55
ON,2007,7665,400,24.08,20.81
ON,2008,16959,400,23.81,22.84
ON,2009,17828,400,24.21,22.65
ON,2010,17728,400,22.68,26.47
ON,2015,18573,400,22.43,22.41
ON,2016,18349,400,22.08,24.04
ON,2017,17643,400,23.28,23.64
ON,2018,17921,400,21.73,23.72
ON,2019,14359,400,22.63,21.03
ON,2025,10879,400,21.07,26.01
ON,2026,7103,400,20.57,26.44
PE,2006,1329,400,17.37,26.63
PE,2007,486,400,17.75,26.75
PE,2015,826,400,17.76,24.79
PE,2016,1394,400,16.93,28.03
PE,2017,2946,400,19.13,28.81
PE,2018,3643,400,20.67,30.7
PE,2019,1247,400,20.45,28.37
PE,2025,4941,400,15.91,30.54
PE,2026,3853,400,17.18,28.13
QLD,2006,9943,400,21.83,3.74
QLD,2007,11686,400,22.14,3.93
QLD,2008,11276,400,22.76,4.24
QLD,2009,10818,400,22.65,3.83
QLD,2010,11824,400,22.52,4.54
QLD,2015,7939,400,23.15,4.28
QLD,2016,11435,400,23.38,4.24
QLD,2017,7920,400,22.79,4.63
QLD,2018,8424,400,22.0,4.59
QLD,2019,9271,400,20.64,4.78
QLD,2025,9715,400,21.24,5.27
QLD,2026,5350,400,20.33,4.53
SA,2006,720,400,24.16,4.01
SA,2007,3239,400,24.77,4.09
SA,2008,3701,400,25.0,5.0
SA,2009,855,400,26.11,4.52
SA,2010,1099,400,31.72,4.35
SA,2015,589,400,26.51,5.36
SA,2016,1043,400,26.12,5.52
SA,2017,1129,400,26.75,5.41
SA,2018,4530,400,25.47,5.32
SA,2019,4233,400,26.08,5.27
SA,2025,11422,400,29.78,4.95
SCO,2006,12841,400,23.52,5.59
SCO,2007,11433,400,23.48,6.17
SCO,2008,13141,400,23.52,5.32
SCO,2009,13084,400,24.66,5.32
SCO,2010,13446,400,23.33,6.2
SCO,2015,14789,400,24.13,5.64
SCO,2016,12791,400,24.22,5.28
SCO,2017,15555,400,24.68,5.59
SCO,2018,15995,400,24.54,5.16
SCO,2019,16191,400,23.9,5.58
SCO,2025,18786,400,24.38,5.72
SCO,2026,9771,400,24.18,5.75
SK,2006,6182,400,15.8,21.2
SK,2007,3623,400,15.29,20.04
SK,2008,5266,400,15.08,21.63
SK,2009,6061,400,15.66,20.66
SK,2010,8029,400,15.99,23.5
SK,2015,5025,400,16.27,24.51
SK,2016,4800,400,16.26,22.46
SK,2017,5771,400,15.52,23.2
SK,2018,5772,400,15.58,24.15
SK,2019,5153,400,14.84,24.07
SK,2025,4701,400,15.15,20.93
SK,2026,3261,400,14.75,22.58
TAS,2006,5712,400,25.65,3.09
TAS,2007,8007,400,25.68,2.41
TAS,2008,8253,400,25.6,3.3
TAS,2009,10346,400,25.86,3.59
TAS,2010,6778,400,26.26,3.67
TAS,2015,7713,400,23.16,3.01
TAS,2016,7831,400,22.78,3.72
TAS,2017,7806,400,21.94,4.12
TAS,2018,6705,400,22.76,3.18
TAS,2019,7936,400,23.85,4.07
TAS,2025,6674,400,21.59,11.69
TAS,2026,3897,400,23.62,20.03
VIC,2006,14088,400,24.7,3.43
VIC,2007,16651,400,24.9,3.4
VIC,2008,18348,400,26.03,3.43
VIC,2009,16826,400,26.25,3.75
VIC,2010,14864,400,26.15,4.16
VIC,2015,19186,400,24.42,4.23
VIC,2016,19746,400,25.98,3.82
VIC,2017,20180,400,26.67,3.71
VIC,2018,16798,400,26.61,3.8
VIC,2019,13907,400,24.44,4.28
VIC,2025,21901,400,24.6,3.4
VIC,2026,11009,400,23.81,3.83
WA,2006,22241,400,20.75,3.12
WA,2007,18926,400,21.16,3.56
WA,2008,14213,400,22.42,3.52
WA,2009,21738,400,22.41,3.5
WA,2010,22453,400,23.54,3.67
WA,2015,21092,400,22.13,3.73
WA,2016,19202,400,22.34,3.59
WA,2017,14782,400,21.64,3.45
WA,2018,20517,400,21.92,4.08
WA,2019,24562,400,21.69,3.92
WA,2025,14017,400,21.06,4.19
WA,2026,7515,400,20.79,4.16
WAL,2006,9098,400,24.4,7.54
WAL,2007,8187,400,24.06,7.27
WAL,2008,10085,400,24.47,8.33
WAL,2009,10516,400,23.79,7.8
WAL,2010,10291,400,23.62,7.91
WAL,2015,12504,400,26.98,25.04
WAL,2016,10811,400,28.55,22.48
WAL,2017,13152,400,28.06,22.85
WAL,2018,13870,400,28.57,24.9
WAL,2019,13323,400,28.38,21.65
WAL,2025,13529,400,25.12,25.58
WAL,2026,6713,400,23.13,27.12
