file,seg_id,date,speaker,n_words,opus_screen,pangram
nb0155,2026-05-07#t2830w6,2026-05-07,Mr. Lee,245,72,AI
nb0156,2026-03-26#t2546w8,2026-03-26,Mr. Austin,301,72,AI
nb0157,2025-11-05#t690w2,2025-11-05,Ms. Bockus,355,72,AI
nb0158,2025-05-28#t2794w2,2025-05-28,Mr. Lee,347,72,Human
nb0159,2025-10-30#t496w4,2025-10-30,Hon. Mr. McKee,108,72,AI
nb0160,2025-10-30#t509w4,2025-10-30,Mr. Russell,169,72,Mixed
nb0161,2025-05-14#t2337w0,2025-05-14,Mr. Cullins,263,72,AI
nb0162,2023-11-23#t14342w3,2023-11-23,Mr. McKee,342,72,Human
nb0163,2024-12-12#t840w4,2024-12-12,Mr. Monahan,347,72,AI
nb0164,2024-06-07#t17773w2,2024-06-07,Mr. Coon,326,72,Mixed
nb0165,2025-12-03#t1414w0,2025-12-03,Mr. Monahan,167,72,AI
nb0166,2025-05-28#t2781w6,2025-05-28,Ms. Conroy,326,72,AI
nb0167,2025-03-26#t1515w5,2025-03-26,Ms. M. Johnson,313,72,Mixed
nb0168,2026-05-07#t2856w4,2026-05-07,Ms. M. Wilson,279,72,AI
nb0169,2026-05-14#t3202w1,2026-05-14,Ms. Scott-Wallace,309,72,AI
nb0170,2026-03-25#t2418w3,2026-03-25,Mr. M. LeBlanc,256,72,AI
nb0171,2026-03-18#t2135w10,2026-03-18,Mr. M. LeBlanc,321,72,AI
nb0172,2026-05-08#t2949w0,2026-05-08,Mr. Russell,278,72,AI
nb0173,2026-03-18#t2135w0,2026-03-18,Mr. M. LeBlanc,334,72,AI
nb0174,2025-10-21#t5w3,2025-10-21,Madam Speaker,326,72,AI
nb0175,2025-05-14#t2337w1,2025-05-14,Mr. Cullins,286,72,AI
nb0176,2025-05-06#t1707w1,2025-05-06,Mr. Cullins,355,72,AI
nb0177,2025-11-05#t691w1,2025-11-05,Ms. M. Wilson,261,72,AI
nb0178,2024-12-13#t940w1,2024-12-13,Ms. M. Johnson,79,72,AI
nb0179,2026-05-13#t3070w2,2026-05-13,Ms. M. Johnson,348,72,AI
nb0180,2025-06-03#t3143w1,2025-06-03,Mr. Monahan,356,72,AI
nb0181,2024-12-12#t745w0,2024-12-12,Mr. Weir,134,72,AI
nb0182,2025-10-30#t536w0,2025-10-30,Ms. M. Johnson,352,72,AI
nb0183,2024-03-22#t15720w12,2024-03-22,Mr. M. LeBlanc,64,72,AI
nb0184,2026-05-08#t2948w0,2026-05-08,Hon. Mr. Randall,248,72,AI
nb0185,2025-12-10#t1771w0,2025-12-10,Mr. Monahan,121,72,AI
nb0186,2023-06-08#t12483w0,2023-06-08,Mr. McKee,182,72,AI
nb0187,2025-11-20#t1188w0,2025-11-20,Ms. M. Johnson,323,72,AI
nb0188,2025-11-06#t799w3,2025-11-06,Mr. Lee,289,72,AI
nb0189,2025-06-04#t3237w0,2025-06-04,Ms. M. Johnson,305,72,AI
nb0190,2025-03-26#t1515w0,2025-03-26,Ms. M. Johnson,285,72,AI
nb0191,2025-10-30#t535w0,2025-10-30,Hon. Mr. McKee,329,72,AI
nb0192,2025-05-14#t2324w1,2025-05-14,Mr. Monahan,308,72,AI
nb0193,2025-06-04#t3237w2,2025-06-04,Ms. M. Johnson,336,72,AI
nb0194,2025-12-04#t1546w0,2025-12-04,Mr. Ames,355,72,Mixed
nb0195,2025-05-16#t2553w0,2025-05-16,Mr. Monahan,348,72,AI
nb0196,2025-06-03#t3141w0,2025-06-03,Ms. M. Johnson,312,72,AI
nb0197,2026-05-07#t2871w0,2026-05-07,Mr. Lee,343,72,AI
nb0198,2025-11-19#t1026w0,2025-11-19,Ms. M. Johnson,327,72,AI
nb0199,2025-05-15#t2351w0,2025-05-15,Mr. Monahan,167,72,AI
nb0200,2024-12-12#t835w4,2024-12-12,Ms. M. Wilson,326,72,AI
nb0201,2025-12-04#t1516w0,2025-12-04,Ms. M. Wilson,285,72,AI
nb0202,2026-05-14#t3192w4,2026-05-14,Ms. M. Johnson,338,72,AI
nb0203,2026-03-18#t2135w8,2026-03-18,Mr. M. LeBlanc,323,72,AI
nb0204,2026-03-18#t2135w14,2026-03-18,Mr. M. LeBlanc,298,72,Mixed
nb0205,2026-05-07#t2830w5,2026-05-07,Mr. Lee,288,72,AI
nb0206,2025-12-09#t1641w0,2025-12-09,Ms. Sodhi,138,72,AI
nb0207,2026-03-24#t2259w0,2026-03-24,Mr. Bourque,148,72,AI
nb0208,2025-10-29#t412w0,2025-10-29,Mr. Oliver,328,72,AI
nb0209,2025-12-05#t1607w0,2025-12-05,Mr. Monahan,153,72,AI
nb0210,2025-06-05#t3330w1,2025-06-05,Ms. Vautour,316,72,AI
nb0211,2024-12-12#t840w2,2024-12-12,Mr. Monahan,295,72,AI
nb0212,2026-05-14#t3204w6,2026-05-14,Ms. M. Wilson,289,72,AI
nb0213,2024-11-22#t144w0,2024-11-22,Ms. Sodhi,186,72,AI
nb0214,2026-05-13#t3090w1,2026-05-13,Mr. M. LeBlanc,194,72,AI
nb0215,2024-05-09#t16460w2,2024-05-09,Mr. M. LeBlanc,331,72,Mixed
nb0216,2024-12-12#t842w2,2024-12-12,Ms. M. Johnson,277,72,AI
nb0217,2025-11-04#t611w3,2025-11-04,Mr. Monahan,209,72,AI
nb0218,2025-11-04#t611w1,2025-11-04,Mr. Monahan,352,72,AI
nb0219,2025-05-27#t2595w0,2025-05-27,Mr. J. LeBlanc,164,72,AI
nb0220,2026-05-14#t3150w0,2026-05-14,Ms. M. Wilson,254,72,AI
nb0221,2025-12-04#t1557w3,2025-12-04,,353,72,AI
nb0222,2025-05-16#t2562w0,2025-05-16,Ms. S. Wilson,325,72,Mixed
nb0223,2025-06-05#t3336w1,2025-06-05,Ms. M. Johnson,341,70,AI
nb0224,2023-05-11#t11774w5,2023-05-11,Mr. McKee,280,70,Human
nb0225,2025-12-04#t1547w1,2025-12-04,Mr. Deputy Speaker,279,70,AI
nb0226,2025-05-07#t1805w3,2025-05-07,Ms. M. Johnson,317,70,AI
nb0227,2025-06-05#t3250w0,2025-06-05,Ms. Bockus,161,70,AI
nb0228,2025-05-28#t2795w2,2025-05-28,Mr. Oliver,261,70,Mixed
nb0229,2025-05-27#t2663w5,2025-05-27,Mr. Cullins,208,70,AI
nb0230,2026-03-26#t2544w6,2026-03-26,Mr. Coon,249,70,AI
nb0231,2026-03-26#t2551w2,2026-03-26,Mr. M. LeBlanc,348,70,AI
nb0232,2025-10-30#t534w3,2025-10-30,Ms. S. Wilson,338,70,Mixed
nb0233,2025-12-11#t1926w1,2025-12-11,Mr. M. LeBlanc,357,70,AI
nb0234,2025-05-27#t2663w3,2025-05-27,Mr. Cullins,360,70,AI
nb0235,2025-11-05#t694w3,2025-11-05,Mr. Monahan,332,70,Mixed
nb0236,2025-05-14#t2337w3,2025-05-14,Mr. Cullins,64,70,AI
nb0237,2025-05-27#t2649w2,2025-05-27,Ms. Bockus,341,70,AI
nb0238,2025-12-02#t1306w0,2025-12-02,Ms. Vautour,140,70,Human
nb0239,2026-05-13#t3070w3,2026-05-13,Ms. M. Johnson,131,70,AI
nb0240,2023-05-10#t11631w6,2023-05-10,Mr. McKee,325,70,Human
nb0241,2026-05-13#t3077w0,2026-05-13,Mr. Monahan,349,70,AI
nb0242,2026-05-13#t3083w0,2026-05-13,Mr. Monahan,294,70,Mixed
nb0243,2025-05-28#t2794w1,2025-05-28,Mr. Lee,335,70,Mixed
nb0244,2026-03-18#t2135w17,2026-03-18,Mr. M. LeBlanc,273,70,AI
nb0245,2025-06-04#t3235w0,2025-06-04,Mr. M. LeBlanc,354,70,AI
nb0246,2025-05-27#t2663w4,2025-05-27,Mr. Cullins,328,70,AI
nb0247,2026-05-14#t3204w5,2026-05-14,Ms. M. Wilson,336,70,AI
nb0248,2025-10-24#t179w1,2025-10-24,Mr. Russell,356,70,AI
nb0249,2025-05-08#t1893w0,2025-05-08,Ms. Bockus,347,70,AI
nb0250,2026-03-26#t2544w5,2026-03-26,Mr. Coon,348,70,AI
nb0251,2026-03-24#t2305w3,2026-03-24,Mr. M. LeBlanc,208,70,AI
nb0252,2025-05-27#t2650w0,2025-05-27,Mr. Ames,321,70,AI
nb0253,2026-03-18#t2063w0,2026-03-18,Mr. Bourque,164,70,AI
nb0254,2025-05-27#t2646w2,2025-05-27,Madam Speaker,324,70,AI
nb0255,2024-12-10#t631w0,2024-12-10,Mr. M. LeBlanc,355,70,AI
nb0256,2025-05-28#t2783w2,2025-05-28,Ms. Bockus,334,70,AI
nb0257,2025-03-26#t1515w2,2025-03-26,Ms. M. Johnson,332,70,Mixed
nb0258,2025-05-29#t2829w0,2025-05-29,Ms. M. Johnson,163,70,AI
nb0259,2025-05-27#t2649w4,2025-05-27,Ms. Bockus,219,70,AI
nb0260,2025-11-19#t1035w0,2025-11-19,Mr. J. LeBlanc,105,70,AI
nb0261,2025-03-25#t1339w0,2025-03-25,Hon. Ms. Thériault,322,70,Mixed
nb0262,2026-05-13#t3061w0,2026-05-13,Mr. Weir,137,70,AI
nb0263,2026-05-13#t3075w0,2026-05-13,Mr. Ames,272,70,AI
nb0264,2025-11-20#t1205w4,2025-11-20,Ms. M. Wilson,265,70,AI
nb0265,2026-05-14#t3201w1,2026-05-14,Mr. Oliver,353,70,AI
nb0266,2026-05-13#t3095w0,2026-05-13,,354,70,AI
nb0267,2026-03-20#t2235w1,2026-03-20,Ms. M. Johnson,327,70,AI
nb0268,2025-05-27#t2645w6,2025-05-27,Ms. Conroy,251,70,AI
nb0269,2025-05-06#t1672w0,2025-05-06,Mr. Monahan,139,70,AI
nb0270,2025-12-03#t1396w0,2025-12-03,Ms. Sodhi,130,70,AI
nb0271,2026-03-18#t2135w22,2026-03-18,Mr. M. LeBlanc,209,70,AI
nb0272,2025-05-27#t2650w1,2025-05-27,Mr. Ames,357,70,AI
nb0273,2026-03-18#t2043w0,2026-03-18,Mr. J. LeBlanc,315,70,AI
nb0274,2024-11-28#t536w2,2024-11-28,Mr. Monahan,314,70,Mixed
nb0275,2023-05-17#t12036w4,2023-05-17,Mr. McKee,318,70,Human
nb0276,2024-06-06#t17550w0,2024-06-06,Mr. G. Arseneault,171,70,AI
nb0277,2026-05-07#t2814w0,2026-05-07,Hon. Ms. Miles,155,70,AI
nb0278,2025-11-20#t1205w0,2025-11-20,Ms. M. Wilson,336,70,Mixed
nb0279,2026-05-13#t3095w2,2026-05-13,,344,70,Mixed
nb0280,2025-05-14#t2323w0,2025-05-14,,301,70,Mixed
nb0281,2025-05-16#t2505w0,2025-05-16,Mr. Monahan,131,70,AI
nb0282,2023-11-23#t14342w7,2023-11-23,Mr. McKee,288,70,AI
nb0283,2023-06-08#t12543w1,2023-06-08,Mr. K. Chiasson,164,70,Human
nb0284,2025-10-29#t378w8,2025-10-29,Mr. M. LeBlanc,340,70,AI
nb0285,2025-10-24#t163w0,2025-10-24,Mr. Monahan,257,70,AI
nb0286,2024-11-28#t536w1,2024-11-28,Mr. Monahan,359,68,Human
nb0287,2025-03-26#t1482w6,2025-03-26,Mr. Weir,317,68,Human
nb0288,2025-05-08#t1920w1,2025-05-08,Ms. Bockus,105,68,AI
nb0289,2025-03-19#t1150w3,2025-03-19,Mr. Cullins,327,68,AI
nb0290,2025-05-07#t1805w0,2025-05-07,Ms. M. Johnson,315,68,Mixed
nb0291,2026-03-20#t2208w3,2026-03-20,Ms. Scott-Wallace,357,68,Mixed
nb0292,2025-05-27#t2662w5,2025-05-27,Mr. Deputy Speaker,289,68,AI
nb0293,2025-10-29#t412w1,2025-10-29,Mr. Oliver,322,68,Mixed
nb0294,2025-11-05#t693w1,2025-11-05,Ms. M. Johnson,339,68,AI
nb0295,2025-10-24#t193w1,2025-10-24,Mr. Monahan,339,68,AI
nb0296,2026-03-18#t2135w13,2026-03-18,Mr. M. LeBlanc,243,66,AI
nb0297,2026-03-18#t2135w18,2026-03-18,Mr. M. LeBlanc,300,65,AI
nb0298,2025-05-27#t2576w0,2025-05-27,Mr. Monahan,148,65,AI
nb0299,2025-05-27#t2645w4,2025-05-27,Ms. Conroy,307,65,AI
nb0300,2026-05-07#t2873w3,2026-05-07,Mr. Doucet,207,65,AI
nb0301,2026-05-13#t3070w1,2026-05-13,Ms. M. Johnson,328,65,AI
nb0302,2025-06-05#t3333w6,2025-06-05,Ms. Conroy,199,65,AI
nb0303,2026-05-13#t3072w3,2026-05-13,Mr. Ames,138,65,AI
nb0304,2025-11-05#t620w0,2025-11-05,Ms. M. Johnson,210,65,AI
nb0305,2025-05-14#t2170w0,2025-05-14,Mr. Weir,150,65,AI
nb0306,2026-05-07#t2830w0,2026-05-07,Mr. Lee,332,65,Mixed
nb0307,2025-12-03#t1446w0,2025-12-03,Mr. Weir,332,65,Mixed
nb0308,2024-12-12#t747w0,2024-12-12,Mr. Arseneault,157,65,Human
nb0309,2026-05-07#t2856w8,2026-05-07,Ms. M. Wilson,249,65,AI
nb0310,2025-12-12#t2021w0,2025-12-12,Mr. Coon,321,65,AI
nb0311,2026-05-07#t2830w4,2026-05-07,Mr. Lee,291,65,AI
nb0312,2024-05-28#t17035w1,2024-05-28,Mr. M. LeBlanc,259,65,AI
nb0313,2024-11-27#t354w0,2024-11-27,Ms. Vautour,155,65,AI
nb0314,2025-11-20#t1216w0,2025-11-20,Mr. Deputy Speaker,351,65,Human
nb0315,2024-11-27#t409w4,2024-11-27,Ms. Conroy,321,65,Mixed
nb0316,2025-12-03#t1440w0,2025-12-03,Hon. Mr. Randall,197,65,AI
nb0317,2026-03-20#t2209w5,2026-03-20,Mr. Coon,301,65,AI
nb0318,2025-05-08#t1918w0,2025-05-08,Ms. Bockus,353,65,AI
nb0319,2025-03-19#t1116w6,2025-03-19,Mr. Monahan,149,65,AI
nb0320,2026-03-26#t2544w3,2026-03-26,Mr. Coon,279,65,AI
nb0321,2024-12-12#t842w3,2024-12-12,Ms. M. Johnson,355,65,Mixed
nb0322,2025-12-04#t1550w0,2025-12-04,Hon. Mr. McKee,300,65,AI
nb0323,2025-12-04#t1466w0,2025-12-04,Mr. Monahan,159,65,AI
nb0324,2025-05-28#t2792w0,2025-05-28,Mr. Cullins,347,65,AI
nb0325,2024-12-10#t631w1,2024-12-10,Mr. M. LeBlanc,302,65,Mixed
nb0326,2023-12-07#t15120w0,2023-12-07,Ms. Holt,151,65,AI
nb0327,2025-11-05#t694w4,2025-11-05,Mr. Monahan,189,65,Mixed
nb0328,2025-11-05#t632w0,2025-11-05,Mr. Arseneault,137,65,AI
nb0329,2026-05-14#t3199w4,2026-05-14,Ms. Vautour,318,65,AI
nb0330,2023-05-11#t11774w3,2023-05-11,Mr. McKee,318,65,Human
nb0331,2025-06-05#t3336w2,2025-06-05,Ms. M. Johnson,292,65,AI
